date,gt_score
2020-12-07,57
2020-12-08,38
2020-12-09,32
2020-12-10,27
2020-12-11,27
2020-12-12,30
2020-12-13,37
2020-12-14,33
2020-12-15,26
2020-12-16,23
2020-12-17,21
2020-12-18,22
2020-12-19,27
2020-12-20,28
2020-12-21,27
2020-12-22,24
2020-12-23,21
2020-12-24,19
2020-12-25,20
2020-12-26,23
2020-12-27,29
2020-12-28,33
2020-12-29,29
2020-12-30,24
2020-12-31,21
2021-01-01,20
2021-01-02,24
2021-01-03,30
2021-01-04,27
2021-01-05,48
2021-01-06,27
2021-01-07,28
2021-01-08,37
2021-01-09,38
2021-01-10,41
2021-01-11,45
2021-01-12,28
2021-01-13,26
2021-01-14,25
2021-01-15,24
2021-01-16,30
2021-01-17,35
2021-01-18,40
2021-01-19,29
2021-01-20,27
2021-01-21,25
2021-01-22,25
2021-01-23,32
2021-01-24,37
2021-01-25,35
2021-01-26,28
2021-01-27,29
2021-01-28,25
2021-01-29,24
2021-01-30,28
2021-01-31,34
2021-02-01,36
2021-02-02,27
2021-02-03,26
2021-02-04,27
2021-02-05,24
2021-02-06,29
2021-02-07,36
2021-02-08,36
2021-02-09,32
2021-02-10,27
2021-02-11,28
2021-02-12,22
2021-02-13,25
2021-02-14,29
2021-02-15,30
2021-02-16,23
2021-02-17,21
2021-02-18,19
2021-02-19,20
2021-02-20,22
2021-02-21,27
2021-02-22,29
2021-02-23,27
2021-02-24,19
2021-02-25,19
2021-02-26,18
2021-02-27,20
2021-02-28,24
2021-03-01,24
2021-03-02,20
2021-03-03,21
2021-03-04,22
2021-03-05,22
2021-03-06,28
2021-03-07,32
2021-03-08,41
2021-03-09,51
2021-03-10,28
2021-03-11,25
2021-03-12,22
2021-03-13,26
2021-03-14,34
2021-03-15,55
2021-03-16,28
2021-03-17,22
2021-03-18,21
2021-03-19,19
2021-03-20,21
2021-03-21,29
2021-03-22,28
2021-03-23,22
2021-03-24,21
2021-03-25,20
2021-03-26,19
2021-03-27,19
2021-03-28,29
2021-03-29,31
2021-03-30,25
2021-03-31,26
2021-04-01,22
2021-04-02,22
2021-04-03,23
2021-04-04,30
2021-04-05,31
2021-04-06,30
2021-04-07,29
2021-04-08,89
2021-04-09,100
2021-04-10,59
2021-04-11,44
2021-04-12,32
2021-04-13,26
2021-04-14,24
2021-04-15,22
2021-04-16,23
2021-04-17,26
2021-04-18,24
2021-04-19,18
2021-04-20,17
2021-04-21,17
2021-04-22,16
2021-04-23,16
2021-04-24,19
2021-04-25,19
2021-04-26,14
2021-04-27,13
2021-04-28,13
2021-04-29,17
2021-04-30,15
2021-05-01,17
2021-05-02,17
2021-05-03,18
2021-05-04,20
2021-05-05,19
2021-05-06,16
2021-05-07,17
2021-05-08,17
2021-05-09,16
2021-05-10,13
2021-05-11,12
2021-05-12,11
2021-05-13,12
2021-05-14,11
2021-05-15,14
2021-05-16,14
2021-05-17,11
2021-05-18,11
2021-05-19,10
2021-05-20,10
2021-05-21,10
2021-05-22,12
2021-05-23,14
2021-05-24,11
2021-05-25,10
2021-05-26,10
2021-05-27,10
2021-05-28,11
2021-05-29,13
2021-05-30,13
2021-05-31,11
2021-06-01,11
2021-06-02,13
2021-06-03,13
2021-06-04,13
2021-06-05,15
2021-06-06,14
2021-06-07,13
2021-06-08,26
2021-06-09,62
2021-06-10,31
2021-06-11,25
2021-06-12,28
2021-06-13,23
2021-06-14,17
2021-06-15,16
2021-06-16,13
2021-06-17,14
2021-06-18,13
2021-06-19,16
2021-06-20,15
2021-06-21,11
2021-06-22,12
2021-06-23,12
2021-06-24,10
2021-06-25,10
2021-06-26,12
2021-06-27,13
