date,gt_score
2022-01-10,100
2022-01-11,62
2022-01-12,51
2022-01-13,46
2022-01-14,50
2022-01-15,57
2022-01-16,76
2022-01-17,63
2022-01-18,48
2022-01-19,44
2022-01-20,42
2022-01-21,43
2022-01-22,55
2022-01-23,75
2022-01-24,69
2022-01-25,53
2022-01-26,46
2022-01-27,46
2022-01-28,49
2022-01-29,55
2022-01-30,70
2022-01-31,71
2022-02-01,57
2022-02-02,49
2022-02-03,47
2022-02-04,47
2022-02-05,54
2022-02-06,77
2022-02-07,78
2022-02-08,60
2022-02-09,56
2022-02-10,49
2022-02-11,79
2022-02-12,61
2022-02-13,89
2022-02-14,73
2022-02-15,61
2022-02-16,53
2022-02-17,50
2022-02-18,49
2022-02-19,55
2022-02-20,72
2022-02-21,60
2022-02-22,53
2022-02-23,53
2022-02-24,43
2022-02-25,42
2022-02-26,51
2022-02-27,60
2022-02-28,61
2022-03-01,47
2022-03-02,43
2022-03-03,47
2022-03-04,45
2022-03-05,49
2022-03-06,60
2022-03-07,59
2022-03-08,48
2022-03-09,44
2022-03-10,41
2022-03-11,43
2022-03-12,44
2022-03-13,63
2022-03-14,55
2022-03-15,46
2022-03-16,42
2022-03-17,40
2022-03-18,39
2022-03-19,41
2022-03-20,58
2022-03-21,65
2022-03-22,52
2022-03-23,43
2022-03-24,43
2022-03-25,42
2022-03-26,52
2022-03-27,70
2022-03-28,75
2022-03-29,56
2022-03-30,45
2022-03-31,39
2022-04-01,43
2022-04-02,53
2022-04-03,78
2022-04-04,81
2022-04-05,55
2022-04-06,47
2022-04-07,40
2022-04-08,37
2022-04-09,47
2022-04-10,48
2022-04-11,39
2022-04-12,34
2022-04-13,33
2022-04-14,34
2022-04-15,32
2022-04-16,39
2022-04-17,39
2022-04-18,36
2022-04-19,28
2022-04-20,29
2022-04-21,28
2022-04-22,28
2022-04-23,33
2022-04-24,33
2022-04-25,25
2022-04-26,22
2022-04-27,26
2022-04-28,24
2022-04-29,30
2022-04-30,32
2022-05-01,28
2022-05-02,24
2022-05-03,30
2022-05-04,29
2022-05-05,28
2022-05-06,23
2022-05-07,27
2022-05-08,28
2022-05-09,21
2022-05-10,19
2022-05-11,20
2022-05-12,18
2022-05-13,23
2022-05-14,26
2022-05-15,24
2022-05-16,19
2022-05-17,21
2022-05-18,22
2022-05-19,18
2022-05-20,20
2022-05-21,25
2022-05-22,24
2022-05-23,19
2022-05-24,18
2022-05-25,17
2022-05-26,18
2022-05-27,18
2022-05-28,24
2022-05-29,23
2022-05-30,18
2022-05-31,18
2022-06-01,18
2022-06-02,18
2022-06-03,18
2022-06-04,22
2022-06-05,23
2022-06-06,17
2022-06-07,17
2022-06-08,15
2022-06-09,17
