date,gt_score
2022-01-09,57
2022-01-10,38
2022-01-11,34
2022-01-12,28
2022-01-13,27
2022-01-14,22
2022-01-15,43
2022-01-16,84
2022-01-17,56
2022-01-18,48
2022-01-19,42
2022-01-20,40
2022-01-21,39
2022-01-22,50
2022-01-23,60
2022-01-24,44
2022-01-25,40
2022-01-26,36
2022-01-27,32
2022-01-28,35
2022-01-29,44
2022-01-30,59
2022-01-31,41
2022-02-01,38
2022-02-02,36
2022-02-03,33
2022-02-04,34
2022-02-05,50
2022-02-06,60
2022-02-07,39
2022-02-08,36
2022-02-09,30
2022-02-10,24
2022-02-11,33
2022-02-12,44
2022-02-13,71
2022-02-14,43
2022-02-15,40
2022-02-16,34
2022-02-17,32
2022-02-18,32
2022-02-19,47
2022-02-20,55
2022-02-21,39
2022-02-22,43
2022-02-23,37
2022-02-24,32
2022-02-25,29
2022-02-26,45
2022-02-27,54
2022-02-28,36
2022-03-01,35
2022-03-02,34
2022-03-03,30
2022-03-04,34
2022-03-05,48
2022-03-06,56
2022-03-07,39
2022-03-08,40
2022-03-09,34
2022-03-10,33
2022-03-11,32
2022-03-12,43
2022-03-13,52
2022-03-14,37
2022-03-15,35
2022-03-16,32
2022-03-17,32
2022-03-18,32
2022-03-19,47
2022-03-20,75
2022-03-21,59
2022-03-22,54
2022-03-23,50
2022-03-24,51
2022-03-25,62
2022-03-26,79
2022-03-27,100
2022-03-28,68
2022-03-29,68
2022-03-30,56
2022-03-31,50
2022-04-01,49
2022-04-02,49
2022-04-03,49
2022-04-04,44
2022-04-05,42
2022-04-06,35
2022-04-07,31
2022-04-08,33
2022-04-09,40
2022-04-10,39
2022-04-11,34
2022-04-12,28
2022-04-13,28
2022-04-14,25
2022-04-15,26
2022-04-16,28
2022-04-17,28
2022-04-18,23
2022-04-19,23
2022-04-20,24
2022-04-21,21
2022-04-22,20
2022-04-23,22
2022-04-24,23
2022-04-25,18
2022-04-26,18
2022-04-27,18
2022-04-28,19
2022-04-29,21
2022-04-30,20
2022-05-01,21
2022-05-02,18
2022-05-03,22
2022-05-04,23
2022-05-05,21
2022-05-06,20
2022-05-07,21
2022-05-08,21
2022-05-09,17
2022-05-10,15
2022-05-11,14
2022-05-12,17
2022-05-13,16
2022-05-14,20
2022-05-15,17
2022-05-16,16
2022-05-17,15
2022-05-18,17
2022-05-19,16
2022-05-20,21
2022-05-21,22
2022-05-22,19
2022-05-23,17
2022-05-24,16
2022-05-25,15
2022-05-26,14
2022-05-27,15
2022-05-28,17
2022-05-29,16
2022-05-30,11
2022-05-31,14
2022-06-01,12
2022-06-02,13
2022-06-03,15
2022-06-04,16
2022-06-05,16
2022-06-06,13
2022-06-07,13
2022-06-08,12
