date,pv,edit_count,editor_count
2018-01-02,9302,5,5
2018-01-03,9528,0,0
2018-01-04,8230,0,0
2018-01-05,5476,2,2
2018-01-06,4602,1,1
2018-01-07,4069,0,0
2018-01-08,4209,1,1
2018-01-09,10186,3,3
2018-01-10,10181,1,1
2018-01-11,6161,1,1
2018-01-12,4271,1,1
2018-01-13,4584,1,1
2018-01-14,4420,0,0
2018-01-15,3236,0,0
2018-01-16,8033,4,4
2018-01-17,9595,2,2
2018-01-18,5761,1,1
2018-01-19,3938,2,2
2018-01-20,4177,0,0
2018-01-21,4682,0,0
2018-01-22,3298,1,1
2018-01-23,5946,1,1
2018-01-24,5760,0,0
2018-01-25,3636,0,0
2018-01-26,2655,1,1
2018-01-27,2733,0,0
2018-01-28,2740,0,0
2018-01-29,2333,1,1
2018-01-30,5277,2,2
2018-01-31,5356,0,0
2018-02-01,3426,0,0
2018-02-02,2856,0,0
2018-02-03,3108,1,1
2018-02-04,3270,0,0
2018-02-05,2309,1,1
2018-02-06,4942,2,2
2018-02-07,5223,1,1
2018-02-08,3480,2,2
2018-02-09,2590,0,0
2018-02-10,3256,0,0
2018-02-11,2981,0,0
2018-02-12,2956,0,0
2018-02-13,6488,3,3
2018-02-14,6674,3,3
2018-02-15,4562,0,0
2018-02-16,3416,0,0
2018-02-17,3264,2,2
2018-02-18,4340,0,0
2018-02-19,2670,0,0
2018-02-20,5586,2,2
2018-02-21,6128,3,3
2018-02-22,4065,0,0
2018-02-23,3216,1,1
2018-02-24,3268,2,2
2018-02-25,3427,0,0
2018-02-26,2784,1,1
2018-02-27,7616,2,2
2018-02-28,7304,0,0
2018-03-01,4311,0,0
2018-03-02,3290,1,1
2018-03-03,4285,0,0
2018-03-04,3775,1,1
2018-03-05,2827,0,0
2018-03-06,5324,1,1
2018-03-07,5462,2,2
2018-03-08,3711,0,0
2018-03-09,2865,1,1
2018-03-10,2781,0,0
2018-03-11,2931,0,0
2018-03-12,2398,0,0
2018-03-13,5790,1,1
2018-03-14,6274,2,2
2018-03-15,4719,3,3
2018-03-16,3569,0,0
2018-03-17,3551,0,0
2018-03-18,4229,0,0
2018-03-19,3529,0,0
2018-03-20,10147,2,2
2018-03-21,13281,1,1
2018-03-22,7869,2,2
2018-03-23,5294,2,2
2018-03-24,5284,1,1
2018-03-25,5475,0,0
2018-03-26,4344,0,0
2018-03-27,9894,2,2
2018-03-28,10722,3,3
2018-03-29,7521,1,1
2018-03-30,6820,3,3
2018-03-31,6939,2,2
2018-04-01,6378,0,0
2018-04-02,4852,0,0
2018-04-03,5501,0,0
2018-04-04,4732,2,2
2018-04-05,4263,1,1
2018-04-06,3974,2,2
2018-04-07,4291,1,1
2018-04-08,4315,0,0
2018-04-09,3713,3,3
2018-04-10,3548,2,2
2018-04-11,3306,1,1
2018-04-12,2898,0,0
2018-04-13,2566,0,0
2018-04-14,3229,0,0
2018-04-15,3511,0,0
2018-04-16,2426,0,0
2018-04-17,2656,0,0
2018-04-18,2436,0,0
2018-04-19,2006,0,0
2018-04-20,1952,0,0
2018-04-21,2539,1,1
2018-04-22,2801,1,1
2018-04-23,2295,2,2
2018-04-24,2616,2,2
2018-04-25,2093,1,1
2018-04-26,1750,2,2
2018-04-27,1635,1,1
2018-04-28,1863,0,0
2018-04-29,1792,1,1
2018-04-30,1934,1,1
2018-05-01,1972,0,0
2018-05-02,1969,0,0
2018-05-03,2110,1,1
2018-05-04,2076,0,0
2018-05-05,2319,0,0
2018-05-06,2346,0,0
2018-05-07,1756,0,0
2018-05-08,1868,0,0
2018-05-09,1618,0,0
2018-05-10,1605,0,0
2018-05-11,1444,0,0
2018-05-12,1754,1,1
2018-05-13,1771,0,0
2018-05-14,1385,0,0
2018-05-15,1675,2,2
2018-05-16,1431,0,0
2018-05-17,1365,0,0
2018-05-18,1244,0,0
2018-05-19,1591,0,0
2018-05-20,1406,0,0
2018-05-21,1239,1,1
2018-05-22,1303,0,0
2018-05-23,1325,0,0
2018-05-24,1370,1,1
2018-05-25,1166,0,0
2018-05-26,1937,0,0
2018-05-27,1651,0,0
2018-05-28,1288,0,0
2018-05-29,1553,1,1
2018-05-30,1753,0,0
2018-05-31,1476,0,0
2018-06-01,1427,1,1
2018-06-02,1591,0,0
2018-06-03,1821,1,1
2018-06-04,1373,0,0
2018-06-05,1353,0,0
2018-06-06,1377,0,0
2018-06-07,1202,0,0
2018-06-08,1231,0,0
2018-06-09,1433,0,0
2018-06-10,1523,0,0
2018-06-11,1208,0,0
2018-06-12,1260,0,0
2018-06-13,1168,1,1
2018-06-14,1149,0,0
2018-06-15,1053,1,1
2018-06-16,1215,2,2
2018-06-17,1316,0,0
2018-06-18,978,1,1
2018-06-19,1315,0,0
2018-06-20,1332,0,0
2018-06-21,1111,0,0
2018-06-22,965,0,0
2018-06-23,1157,0,0
2018-06-24,1489,0,0
2018-06-25,1727,0,0
