date,gt_score
2022-04-09,100
2022-04-10,89
2022-04-11,54
2022-04-12,43
2022-04-13,37
2022-04-14,38
2022-04-15,36
2022-04-16,85
2022-04-17,95
2022-04-18,56
2022-04-19,51
2022-04-20,40
2022-04-21,38
2022-04-22,44
2022-04-23,65
2022-04-24,66
2022-04-25,43
2022-04-26,31
2022-04-27,27
2022-04-28,28
2022-04-29,32
2022-04-30,56
2022-05-01,61
2022-05-02,46
2022-05-03,42
2022-05-04,40
2022-05-05,38
2022-05-06,40
2022-05-07,58
2022-05-08,49
2022-05-09,30
2022-05-10,29
2022-05-11,26
2022-05-12,29
2022-05-13,27
2022-05-14,50
2022-05-15,54
2022-05-16,34
2022-05-17,30
2022-05-18,26
2022-05-19,25
2022-05-20,24
2022-05-21,48
2022-05-22,47
2022-05-23,32
2022-05-24,28
2022-05-25,24
2022-05-26,28
2022-05-27,26
2022-05-28,41
2022-05-29,44
2022-05-30,28
2022-05-31,26
2022-06-01,24
2022-06-02,24
2022-06-03,22
2022-06-04,34
2022-06-05,36
2022-06-06,23
2022-06-07,19
2022-06-08,19
2022-06-09,17
2022-06-10,18
2022-06-11,38
2022-06-12,36
2022-06-13,22
2022-06-14,21
2022-06-15,20
2022-06-16,26
2022-06-17,20
2022-06-18,36
2022-06-19,39
2022-06-20,23
2022-06-21,20
2022-06-22,18
2022-06-23,19
2022-06-24,20
2022-06-25,50
2022-06-26,50
2022-06-27,33
2022-06-28,23
2022-06-29,25
2022-06-30,20
2022-07-01,21
2022-07-02,36
2022-07-03,34
2022-07-04,25
2022-07-05,19
2022-07-06,15
2022-07-07,12
2022-07-08,12
2022-07-09,28
2022-07-10,25
2022-07-11,17
2022-07-12,10
2022-07-13,13
2022-07-14,12
2022-07-15,16
2022-07-16,21
2022-07-17,16
2022-07-18,18
2022-07-19,14
2022-07-20,14
2022-07-21,9
2022-07-22,15
2022-07-23,18
2022-07-24,19
2022-07-25,18
2022-07-26,16
2022-07-27,12
2022-07-28,16
2022-07-29,15
2022-07-30,16
2022-07-31,20
2022-08-01,18
2022-08-02,14
2022-08-03,13
2022-08-04,13
2022-08-05,17
2022-08-06,19
2022-08-07,19
2022-08-08,15
2022-08-09,16
2022-08-10,14
2022-08-11,16
2022-08-12,15
2022-08-13,17
2022-08-14,18
2022-08-15,13
2022-08-16,14
2022-08-17,11
2022-08-18,8
2022-08-19,10
2022-08-20,16
2022-08-21,11
2022-08-22,12
2022-08-23,13
2022-08-24,10
2022-08-25,11
2022-08-26,8
2022-08-27,11
2022-08-28,16
2022-08-29,14
2022-08-30,15
2022-08-31,13
2022-09-01,12
2022-09-02,10
2022-09-03,14
2022-09-04,15
2022-09-05,12
2022-09-06,11
2022-09-07,12
2022-09-08,12
2022-09-09,10
2022-09-10,11
2022-09-11,10
2022-09-12,12
2022-09-13,9
2022-09-14,12
2022-09-15,20
2022-09-16,12
2022-09-17,15
2022-09-18,13
2022-09-19,15
2022-09-20,13
2022-09-21,10
2022-09-22,11
2022-09-23,12
2022-09-24,17
2022-09-25,20
2022-09-26,17
2022-09-27,23
2022-09-28,27
2022-09-29,26
2022-09-30,48
