date,pv,edit_count,editor_count
2022-04-09,38620,4,4
2022-04-10,51559,3,3
2022-04-11,32235,0,0
2022-04-12,25248,0,0
2022-04-13,20271,0,0
2022-04-14,18107,0,0
2022-04-15,16727,0,0
2022-04-16,48272,1,1
2022-04-17,70374,4,4
2022-04-18,42482,1,1
2022-04-19,31041,1,1
2022-04-20,27793,0,0
2022-04-21,25279,0,0
2022-04-22,23626,0,0
2022-04-23,45258,1,1
2022-04-24,52870,2,2
2022-04-25,31073,0,0
2022-04-26,25320,0,0
2022-04-27,20886,0,0
2022-04-28,18894,1,1
2022-04-29,24370,0,0
2022-04-30,37541,2,2
2022-05-01,47553,3,3
2022-05-02,33049,1,1
2022-05-03,31531,1,1
2022-05-04,30276,1,1
2022-05-05,29158,1,1
2022-05-06,26160,0,0
2022-05-07,44003,1,1
2022-05-08,46543,2,2
2022-05-09,30694,1,1
2022-05-10,25640,0,0
2022-05-11,22567,0,0
2022-05-12,19861,2,2
2022-05-13,20654,0,0
2022-05-14,41617,1,1
2022-05-15,49081,2,2
2022-05-16,32132,2,2
2022-05-17,25269,1,1
2022-05-18,20665,0,0
2022-05-19,19227,1,1
2022-05-20,19331,1,1
2022-05-21,37883,2,2
2022-05-22,44544,3,3
2022-05-23,28433,0,0
2022-05-24,22050,1,1
2022-05-25,19236,2,2
2022-05-26,24203,0,0
2022-05-27,25759,0,0
2022-05-28,39754,2,2
2022-05-29,43007,0,0
2022-05-30,28400,1,1
2022-05-31,22216,0,0
2022-06-01,19005,0,0
2022-06-02,18624,1,1
2022-06-03,19121,2,2
2022-06-04,34619,1,1
2022-06-05,36639,1,1
2022-06-06,23809,0,0
2022-06-07,20162,0,0
2022-06-08,18802,0,0
2022-06-09,17420,2,2
2022-06-10,16830,0,0
2022-06-11,33387,2,2
2022-06-12,35423,1,1
2022-06-13,24646,1,1
2022-06-14,20662,0,0
2022-06-15,18513,2,2
2022-06-16,19217,0,0
2022-06-17,18786,1,1
2022-06-18,34984,2,2
2022-06-19,38519,1,1
2022-06-20,24352,1,1
2022-06-21,20835,1,1
2022-06-22,18474,0,0
2022-06-23,17807,1,1
2022-06-24,17701,2,2
2022-06-25,39762,2,2
2022-06-26,42659,3,3
2022-06-27,27551,4,4
2022-06-28,22052,1,1
2022-06-29,24561,1,1
2022-06-30,21573,0,0
2022-07-01,19847,0,0
2022-07-02,33408,1,1
2022-07-03,34391,1,1
2022-07-04,22645,0,0
2022-07-05,18666,0,0
2022-07-06,16028,0,0
2022-07-07,15010,1,1
2022-07-08,12181,0,0
2022-07-09,18983,0,0
2022-07-10,25763,0,0
2022-07-11,15587,0,0
2022-07-12,13395,0,0
2022-07-13,12394,0,0
2022-07-14,11912,0,0
2022-07-15,12290,0,0
2022-07-16,16457,0,0
2022-07-17,16020,0,0
2022-07-18,15964,0,0
2022-07-19,11457,1,1
2022-07-20,10058,1,1
2022-07-21,10138,1,1
2022-07-22,11146,2,2
2022-07-23,14647,3,3
2022-07-24,13761,2,2
2022-07-25,11297,0,0
2022-07-26,10333,0,0
2022-07-27,9674,0,0
2022-07-28,9262,1,1
2022-07-29,9177,0,0
2022-07-30,11796,0,0
2022-07-31,11418,1,1
2022-08-01,10981,1,1
2022-08-02,8570,0,0
2022-08-03,8753,0,0
2022-08-04,9115,1,1
2022-08-05,12628,0,0
2022-08-06,17312,1,1
2022-08-07,13156,0,0
2022-08-08,9946,0,0
2022-08-09,8842,2,2
2022-08-10,8218,0,0
2022-08-11,9713,0,0
2022-08-12,9499,1,1
2022-08-13,10848,0,0
2022-08-14,10619,1,1
2022-08-15,9301,0,0
2022-08-16,8649,0,0
2022-08-17,8065,0,0
2022-08-18,6726,0,0
2022-08-19,6446,0,0
2022-08-20,7699,0,0
2022-08-21,8208,0,0
2022-08-22,6459,0,0
2022-08-23,6171,2,2
2022-08-24,6109,0,0
2022-08-25,6011,1,1
2022-08-26,5760,1,1
2022-08-27,8259,2,2
2022-08-28,10671,3,3
2022-08-29,7251,1,1
2022-08-30,5705,0,0
2022-08-31,5406,1,1
2022-09-01,5247,0,0
2022-09-02,5702,0,0
2022-09-03,6882,1,1
2022-09-04,7769,0,0
2022-09-05,5933,0,0
2022-09-06,5203,0,0
2022-09-07,5412,0,0
2022-09-08,5200,1,1
2022-09-09,5322,0,0
2022-09-10,6915,0,0
2022-09-11,6552,0,0
2022-09-12,5359,0,0
2022-09-13,5003,0,0
2022-09-14,4808,0,0
2022-09-15,8959,2,2
2022-09-16,6632,0,0
2022-09-17,7463,0,0
2022-09-18,7550,1,1
2022-09-19,8694,0,0
2022-09-20,6147,2,2
2022-09-21,5182,0,0
2022-09-22,5162,0,0
2022-09-23,7069,0,0
2022-09-24,8514,0,0
2022-09-25,8364,0,0
2022-09-26,7027,1,1
2022-09-27,7887,0,0
2022-09-28,9054,1,1
2022-09-29,10593,1,1
2022-09-30,12041,1,1
