date,gt_score
2022-04-07,24
2022-04-08,20
2022-04-09,23
2022-04-10,24
2022-04-11,16
2022-04-12,15
2022-04-13,26
2022-04-14,76
2022-04-15,100
2022-04-16,72
2022-04-17,50
2022-04-18,35
2022-04-19,29
2022-04-20,29
2022-04-21,47
2022-04-22,39
2022-04-23,37
2022-04-24,31
2022-04-25,22
2022-04-26,20
2022-04-27,20
2022-04-28,29
2022-04-29,35
2022-04-30,24
2022-05-01,21
2022-05-02,19
2022-05-03,19
2022-05-04,20
2022-05-05,31
2022-05-06,35
2022-05-07,31
2022-05-08,26
2022-05-09,18
2022-05-10,16
2022-05-11,14
2022-05-12,28
2022-05-13,35
2022-05-14,31
2022-05-15,21
2022-05-16,17
2022-05-17,14
2022-05-18,14
2022-05-19,23
2022-05-20,24
2022-05-21,25
2022-05-22,22
2022-05-23,15
2022-05-24,13
2022-05-25,16
2022-05-26,25
2022-05-27,26
2022-05-28,23
2022-05-29,26
2022-05-30,15
2022-05-31,14
2022-06-01,16
2022-06-02,21
2022-06-03,26
2022-06-04,23
2022-06-05,20
2022-06-06,16
2022-06-07,14
2022-06-08,14
2022-06-09,23
2022-06-10,22
2022-06-11,26
2022-06-12,20
2022-06-13,12
2022-06-14,14
2022-06-15,11
2022-06-16,21
2022-06-17,22
2022-06-18,24
2022-06-19,20
2022-06-20,15
2022-06-21,13
2022-06-22,14
2022-06-23,21
2022-06-24,23
2022-06-25,20
2022-06-26,20
2022-06-27,13
2022-06-28,14
2022-06-29,13
2022-06-30,26
2022-07-01,34
2022-07-02,30
2022-07-03,23
2022-07-04,18
2022-07-05,20
2022-07-06,20
2022-07-07,25
2022-07-08,20
2022-07-09,24
2022-07-10,18
2022-07-11,14
2022-07-12,13
2022-07-13,14
2022-07-14,22
2022-07-15,21
2022-07-16,19
2022-07-17,19
2022-07-18,17
2022-07-19,13
2022-07-20,11
2022-07-21,21
2022-07-22,25
2022-07-23,21
2022-07-24,18
2022-07-25,14
2022-07-26,13
2022-07-27,14
2022-07-28,20
2022-07-29,21
2022-07-30,20
2022-07-31,17
2022-08-01,10
2022-08-02,10
2022-08-03,10
2022-08-04,21
2022-08-05,20
2022-08-06,14
2022-08-07,13
2022-08-08,12
2022-08-09,10
2022-08-10,11
2022-08-11,24
2022-08-12,24
2022-08-13,20
2022-08-14,17
2022-08-15,16
2022-08-16,17
2022-08-17,15
2022-08-18,21
2022-08-19,23
2022-08-20,15
2022-08-21,12
2022-08-22,10
2022-08-23,10
2022-08-24,9
2022-08-25,22
2022-08-26,19
2022-08-27,17
2022-08-28,13
2022-08-29,12
2022-08-30,10
2022-08-31,11
2022-09-01,17
2022-09-02,19
2022-09-03,18
2022-09-04,16
2022-09-05,9
2022-09-06,9
2022-09-07,12
2022-09-08,15
2022-09-09,16
2022-09-10,15
2022-09-11,12
2022-09-12,11
2022-09-13,9
2022-09-14,8
2022-09-15,15
2022-09-16,16
2022-09-17,14
2022-09-18,13
2022-09-19,13
2022-09-20,11
2022-09-21,12
2022-09-22,21
2022-09-23,25
2022-09-24,20
2022-09-25,16
2022-09-26,12
2022-09-27,11
2022-09-28,11
2022-09-29,28
2022-09-30,36
2022-10-01,25
2022-10-02,22
2022-10-03,14
2022-10-04,13
2022-10-05,13
2022-10-06,12
2022-10-07,13
2022-10-08,12
2022-10-09,11
2022-10-10,15
2022-10-11,11
2022-10-12,14
2022-10-13,10
2022-10-14,9
2022-10-15,12
2022-10-16,10
2022-10-17,9
2022-10-18,9
2022-10-19,9
2022-10-20,9
2022-10-21,7
2022-10-22,14
2022-10-23,11
2022-10-24,7
2022-10-25,7
2022-10-26,7
2022-10-27,7
2022-10-28,7
2022-10-29,20
2022-10-30,16
2022-10-31,6
2022-11-01,7
2022-11-02,7
2022-11-03,9
2022-11-04,7
2022-11-05,7
2022-11-06,5
2022-11-07,5
2022-11-08,4
2022-11-09,5
2022-11-10,4
2022-11-11,5
2022-11-12,8
2022-11-13,7
2022-11-14,10
2022-11-15,41
2022-11-16,49
2022-11-17,52
2022-11-18,59
2022-11-19,67
2022-11-20,90
2022-11-21,66
2022-11-22,70
2022-11-23,87
2022-11-24,60
2022-11-25,60
2022-11-26,60
2022-11-27,57
2022-11-28,53
2022-11-29,57
2022-11-30,48
2022-12-01,46
2022-12-02,42
2022-12-03,53
2022-12-04,48
2022-12-05,40
2022-12-06,40
2022-12-07,40
2022-12-08,38
2022-12-09,37
2022-12-10,43
2022-12-11,41
2022-12-12,39
2022-12-13,34
2022-12-14,34
2022-12-15,30
2022-12-16,31
2022-12-17,36
2022-12-18,32
2022-12-19,29
2022-12-20,28
2022-12-21,29
2022-12-22,27
2022-12-23,29
2022-12-24,28
2022-12-25,26
2022-12-26,29
2022-12-27,27
2022-12-28,38
