date,pv,edit_count,editor_count
2018-10-07,813,0,0
2018-10-08,444,0,0
2018-10-09,311,0,0
2018-10-10,250,0,0
2018-10-11,208,0,0
2018-10-12,187,0,0
2018-10-13,456,0,0
2018-10-14,478,0,0
2018-10-15,231,0,0
2018-10-16,179,0,0
2018-10-17,162,0,0
2018-10-18,137,0,0
2018-10-19,121,0,0
2018-10-20,265,0,0
2018-10-21,331,0,0
2018-10-22,193,0,0
2018-10-23,151,0,0
2018-10-24,172,0,0
2018-10-25,125,0,0
2018-10-26,118,0,0
2018-10-27,264,0,0
2018-10-28,309,0,0
2018-10-29,171,0,0
2018-10-30,122,0,0
2018-10-31,105,0,0
2018-11-01,98,0,0
2018-11-02,268,0,0
2018-11-03,282,0,0
2018-11-04,354,0,0
2018-11-05,192,0,0
2018-11-06,129,0,0
2018-11-07,130,0,0
2018-11-08,109,0,0
2018-11-09,119,0,0
2018-11-10,205,0,0
2018-11-11,243,0,0
2018-11-12,139,0,0
2018-11-13,119,0,0
2018-11-14,98,0,0
2018-11-15,72,0,0
2018-11-16,82,0,0
2018-11-17,272,0,0
2018-11-18,407,0,0
2018-11-19,196,0,0
2018-11-20,137,0,0
2018-11-21,113,0,0
2018-11-22,98,0,0
2018-11-23,126,0,0
2018-11-24,526,0,0
2018-11-25,532,0,0
2018-11-26,228,0,0
2018-11-27,149,0,0
2018-11-28,151,0,0
2018-11-29,113,0,0
2018-11-30,115,0,0
2018-12-01,329,0,0
2018-12-02,394,0,0
2018-12-03,205,0,0
2018-12-04,157,0,0
2018-12-05,141,0,0
2018-12-06,125,0,0
2018-12-07,95,0,0
2018-12-08,298,0,0
2018-12-09,439,0,0
2018-12-10,239,0,0
2018-12-11,179,0,0
2018-12-12,138,0,0
2018-12-13,136,0,0
2018-12-14,116,0,0
2018-12-15,256,0,0
2018-12-16,299,0,0
2018-12-17,175,0,0
2018-12-18,152,0,0
2018-12-19,151,0,0
2018-12-20,87,0,0
2018-12-21,109,0,0
2018-12-22,337,0,0
2018-12-23,372,0,0
2018-12-24,252,0,0
2018-12-25,168,0,0
2018-12-26,171,0,0
2018-12-27,139,0,0
2018-12-28,143,0,0
2018-12-29,199,0,0
2018-12-30,201,0,0
2018-12-31,139,0,0
2019-01-01,120,0,0
2019-01-02,213,0,0
2019-01-03,136,0,0
2019-01-04,144,0,0
2019-01-05,416,0,0
2019-01-06,323,0,0
2019-01-07,174,0,0
2019-01-08,131,0,0
2019-01-09,125,0,0
2019-01-10,138,0,0
2019-01-11,264,0,0
2019-01-12,298,0,0
2019-01-13,354,0,0
2019-01-14,255,0,0
2019-01-15,181,0,0
2019-01-16,161,0,0
2019-01-17,138,0,0
2019-01-18,158,0,0
2019-01-19,366,0,0
2019-01-20,405,0,0
