date,gt_score
2020-10-04,100
2020-10-05,80
2020-10-06,62
2020-10-07,45
2020-10-08,41
2020-10-09,37
2020-10-10,46
2020-10-11,76
2020-10-12,74
2020-10-13,49
2020-10-14,43
2020-10-15,34
2020-10-16,29
2020-10-17,45
2020-10-18,56
2020-10-19,47
2020-10-20,31
2020-10-21,32
2020-10-22,27
2020-10-23,21
2020-10-24,28
2020-10-25,45
2020-10-26,42
2020-10-27,28
2020-10-28,25
2020-10-29,25
2020-10-30,23
2020-10-31,26
2020-11-01,43
2020-11-02,39
2020-11-03,32
2020-11-04,24
2020-11-05,18
2020-11-06,21
2020-11-07,26
2020-11-08,38
2020-11-09,35
2020-11-10,25
2020-11-11,26
2020-11-12,25
2020-11-13,21
2020-11-14,32
2020-11-15,41
2020-11-16,28
2020-11-17,25
2020-11-18,25
2020-11-19,22
2020-11-20,24
2020-11-21,26
2020-11-22,45
2020-11-23,45
2020-11-24,30
2020-11-25,27
2020-11-26,20
2020-11-27,23
2020-11-28,25
2020-11-29,43
2020-11-30,36
2020-12-01,23
2020-12-02,25
2020-12-03,19
2020-12-04,21
2020-12-05,22
2020-12-06,35
2020-12-07,32
2020-12-08,24
2020-12-09,17
2020-12-10,19
2020-12-11,21
2020-12-12,24
2020-12-13,37
2020-12-14,26
2020-12-15,19
2020-12-16,25
2020-12-17,17
2020-12-18,18
2020-12-19,25
2020-12-20,37
2020-12-21,30
2020-12-22,21
2020-12-23,21
2020-12-24,21
2020-12-25,19
2020-12-26,23
2020-12-27,73
2020-12-28,74
2020-12-29,54
2020-12-30,49
2020-12-31,30
2021-01-01,37
2021-01-02,47
2021-01-03,36
2021-01-04,31
2021-01-05,35
2021-01-06,22
2021-01-07,18
2021-01-08,19
2021-01-09,24
2021-01-10,25
2021-01-11,17
2021-01-12,21
2021-01-13,17
2021-01-14,19
2021-01-15,16
2021-01-16,21
2021-01-17,16
2021-01-18,15
2021-01-19,13
2021-01-20,8
2021-01-21,12
2021-01-22,13
2021-01-23,12
2021-01-24,13
2021-01-25,11
2021-01-26,11
2021-01-27,11
2021-01-28,8
2021-01-29,9
2021-01-30,11
2021-01-31,8
2021-02-01,7
2021-02-02,9
2021-02-03,11
2021-02-04,9
2021-02-05,8
2021-02-06,9
2021-02-07,8
2021-02-08,10
2021-02-09,8
2021-02-10,7
2021-02-11,7
2021-02-12,8
2021-02-13,7
2021-02-14,7
2021-02-15,7
2021-02-16,7
2021-02-17,7
2021-02-18,7
2021-02-19,7
2021-02-20,9
2021-02-21,8
2021-02-22,6
2021-02-23,9
2021-02-24,3
2021-02-25,7
2021-02-26,6
2021-02-27,3
2021-02-28,9
2021-03-01,10
2021-03-02,7
2021-03-03,7
