date,pv,edit_count,editor_count
2020-10-04,29226,3,3
2020-10-05,23878,1,1
2020-10-06,14360,0,0
2020-10-07,13439,0,0
2020-10-08,10014,0,0
2020-10-09,9525,0,0
2020-10-10,12883,0,0
2020-10-11,23082,2,2
2020-10-12,18382,0,0
2020-10-13,13393,0,0
2020-10-14,9974,0,0
2020-10-15,7262,0,0
2020-10-16,6321,0,0
2020-10-17,8585,0,0
2020-10-18,15410,1,1
2020-10-19,11384,0,0
2020-10-20,7666,0,0
2020-10-21,6760,0,0
2020-10-22,5701,0,0
2020-10-23,5557,0,0
2020-10-24,6479,0,0
2020-10-25,12829,1,1
2020-10-26,8853,0,0
2020-10-27,6206,0,0
2020-10-28,5522,0,0
2020-10-29,4475,0,0
2020-10-30,4207,0,0
2020-10-31,4972,0,0
2020-11-01,10371,1,1
2020-11-02,8153,0,0
2020-11-03,7349,0,0
2020-11-04,4493,0,0
2020-11-05,3433,0,0
2020-11-06,3137,0,0
2020-11-07,4247,0,0
2020-11-08,9629,1,1
2020-11-09,6990,0,0
2020-11-10,4895,0,0
2020-11-11,4412,0,0
2020-11-12,4396,0,0
2020-11-13,4566,1,1
2020-11-14,5770,0,0
2020-11-15,9357,1,1
2020-11-16,6780,0,0
2020-11-17,5535,0,0
2020-11-18,4803,0,0
2020-11-19,4229,0,0
2020-11-20,4178,0,0
2020-11-21,5053,2,2
2020-11-22,9558,1,1
2020-11-23,8669,0,0
2020-11-24,5284,0,0
2020-11-25,4642,0,0
2020-11-26,3403,0,0
2020-11-27,3279,0,0
2020-11-28,3904,0,0
2020-11-29,9831,1,1
2020-11-30,7018,0,0
2020-12-01,4430,0,0
2020-12-02,4159,0,0
2020-12-03,3500,0,0
2020-12-04,3085,0,0
2020-12-05,3891,0,0
2020-12-06,6813,1,1
2020-12-07,5178,0,0
2020-12-08,3782,0,0
2020-12-09,3276,0,0
2020-12-10,2658,0,0
2020-12-11,2611,0,0
2020-12-12,3413,0,0
2020-12-13,7326,2,2
2020-12-14,5417,0,0
2020-12-15,3693,0,0
2020-12-16,3640,0,0
2020-12-17,2782,0,0
2020-12-18,2863,0,0
2020-12-19,3618,0,0
2020-12-20,7223,1,1
2020-12-21,5930,1,1
2020-12-22,4294,1,1
2020-12-23,3663,1,1
2020-12-24,2852,0,0
2020-12-25,2951,0,0
2020-12-26,3650,0,0
2020-12-27,15138,2,2
2020-12-28,12812,1,1
2020-12-29,9742,1,1
2020-12-30,8562,0,0
2020-12-31,5050,0,0
2021-01-01,6237,0,0
2021-01-02,7508,0,0
2021-01-03,6584,2,2
2021-01-04,5398,1,1
2021-01-05,5266,0,0
2021-01-06,4430,1,1
2021-01-07,3484,0,0
2021-01-08,3245,0,0
2021-01-09,3804,0,0
2021-01-10,4033,0,0
2021-01-11,3835,0,0
2021-01-12,3668,0,0
2021-01-13,2734,0,0
2021-01-14,2681,0,0
2021-01-15,2529,0,0
2021-01-16,3023,0,0
2021-01-17,3054,0,0
2021-01-18,2249,0,0
2021-01-19,1959,0,0
2021-01-20,1782,0,0
2021-01-21,1601,0,0
2021-01-22,1697,0,0
2021-01-23,1966,0,0
2021-01-24,2553,0,0
2021-01-25,1758,0,0
2021-01-26,1999,1,1
2021-01-27,1616,0,0
2021-01-28,1473,0,0
2021-01-29,1262,0,0
2021-01-30,1939,0,0
2021-01-31,3821,0,0
2021-02-01,2054,0,0
2021-02-02,1642,0,0
2021-02-03,1568,0,0
2021-02-04,1636,0,0
2021-02-05,1361,0,0
2021-02-06,1575,0,0
2021-02-07,1630,0,0
2021-02-08,1268,0,0
2021-02-09,1057,0,0
2021-02-10,1071,0,0
2021-02-11,1241,0,0
2021-02-12,1162,0,0
2021-02-13,1251,0,0
2021-02-14,1367,0,0
2021-02-15,1155,0,0
2021-02-16,1027,0,0
2021-02-17,979,0,0
2021-02-18,946,0,0
2021-02-19,960,0,0
2021-02-20,1039,0,0
2021-02-21,1422,1,1
2021-02-22,1072,0,0
2021-02-23,1344,1,1
2021-02-24,964,0,0
2021-02-25,835,0,0
2021-02-26,799,0,0
2021-02-27,944,0,0
2021-02-28,1034,0,0
2021-03-01,941,0,0
2021-03-02,1034,0,0
2021-03-03,973,0,0
2021-03-04,999,0,0
2021-03-05,943,0,0
2021-03-06,1062,0,0
2021-03-07,1064,0,0
2021-03-08,804,0,0
2021-03-09,807,0,0
2021-03-10,725,0,0
2021-03-11,803,0,0
2021-03-12,787,0,0
2021-03-13,941,0,0
2021-03-14,934,0,0
2021-03-15,798,0,0
2021-03-16,806,0,0
2021-03-17,744,0,0
2021-03-18,809,0,0
2021-03-19,759,0,0
2021-03-20,846,0,0
2021-03-21,965,0,0
2021-03-22,727,0,0
2021-03-23,760,0,0
2021-03-24,670,0,0
2021-03-25,636,0,0
2021-03-26,578,0,0
2021-03-27,830,0,0
