date,pv,edit_count,editor_count
2019-01-09,31375,4,4
2019-01-10,52214,4,4
2019-01-11,26089,6,6
2019-01-12,21925,2,2
2019-01-13,17913,3,3
2019-01-14,15771,1,1
2019-01-15,10150,2,2
2019-01-16,22997,3,3
2019-01-17,39332,2,2
2019-01-18,23671,1,1
2019-01-19,22286,1,1
2019-01-20,20829,3,3
2019-01-21,14658,4,4
2019-01-22,12586,1,1
2019-01-23,26282,4,4
2019-01-24,40010,4,4
2019-01-25,23629,5,5
2019-01-26,21250,5,5
2019-01-27,19315,3,3
2019-01-28,13803,5,5
2019-01-29,11563,3,3
2019-01-30,29162,4,4
2019-01-31,45067,4,4
2019-02-01,25396,5,5
2019-02-02,22396,3,3
2019-02-03,21097,4,4
2019-02-04,14041,2,2
2019-02-05,11777,1,1
2019-02-06,28883,7,7
2019-02-07,42475,1,1
2019-02-08,23969,1,1
2019-02-09,20000,0,0
2019-02-10,16857,1,1
2019-02-11,16082,0,0
2019-02-12,11207,0,0
2019-02-13,16681,4,4
2019-02-14,22194,1,1
2019-02-15,14978,0,0
2019-02-16,14680,0,0
2019-02-17,14262,1,1
2019-02-18,10289,0,0
2019-02-19,9500,0,0
2019-02-20,13016,1,1
2019-02-21,16714,2,2
2019-02-22,12206,1,1
2019-02-23,11545,0,0
2019-02-24,11424,2,2
2019-02-25,8357,2,2
2019-02-26,7445,3,3
2019-02-27,14106,5,5
2019-02-28,17650,3,3
2019-03-01,11982,2,2
2019-03-02,10929,0,0
2019-03-03,11408,2,2
2019-03-04,8941,1,1
2019-03-05,7237,3,3
2019-03-06,18688,2,2
2019-03-07,24536,0,0
2019-03-08,13184,1,1
2019-03-09,11476,1,1
2019-03-10,10628,0,0
2019-03-11,7815,1,1
2019-03-12,6883,0,0
2019-03-13,14972,2,2
2019-03-14,20061,0,0
2019-03-15,11627,0,0
2019-03-16,12316,1,1
2019-03-17,10769,3,3
2019-03-18,7988,0,0
2019-03-19,7439,0,0
2019-03-20,19474,3,3
2019-03-21,29634,4,4
2019-03-22,13753,3,3
2019-03-23,11701,3,3
2019-03-24,10919,0,0
2019-03-25,8299,0,0
2019-03-26,7756,1,1
2019-03-27,18327,2,2
2019-03-28,25117,1,1
2019-03-29,15102,2,2
2019-03-30,14036,2,2
2019-03-31,11671,1,1
2019-04-01,7725,0,0
2019-04-02,8574,0,0
2019-04-03,16951,5,5
2019-04-04,23394,1,1
2019-04-05,14571,0,0
2019-04-06,13458,1,1
2019-04-07,13570,0,0
2019-04-08,8964,0,0
2019-04-09,7825,0,0
