date,gt_score
2018-10-02,79
2018-10-03,60
2018-10-04,44
2018-10-05,37
2018-10-06,38
2018-10-07,37
2018-10-08,57
2018-10-09,59
2018-10-10,51
2018-10-11,45
2018-10-12,38
2018-10-13,43
2018-10-14,44
2018-10-15,51
2018-10-16,57
2018-10-17,49
2018-10-18,38
2018-10-19,30
2018-10-20,36
2018-10-21,39
2018-10-22,47
2018-10-23,58
2018-10-24,47
2018-10-25,39
2018-10-26,35
2018-10-27,54
2018-10-28,57
2018-10-29,67
2018-10-30,100
2018-10-31,70
2018-11-01,54
2018-11-02,50
2018-11-03,55
2018-11-04,55
2018-11-05,59
2018-11-06,77
2018-11-07,57
2018-11-08,45
2018-11-09,34
2018-11-10,42
2018-11-11,42
2018-11-12,48
2018-11-13,57
2018-11-14,50
2018-11-15,36
2018-11-16,32
2018-11-17,39
2018-11-18,38
2018-11-19,44
2018-11-20,53
2018-11-21,46
2018-11-22,34
2018-11-23,34
2018-11-24,33
2018-11-25,34
2018-11-26,44
2018-11-27,65
2018-11-28,54
2018-11-29,42
2018-11-30,39
2018-12-01,39
2018-12-02,41
2018-12-03,49
2018-12-04,61
2018-12-05,52
2018-12-06,41
2018-12-07,44
2018-12-08,44
2018-12-09,46
2018-12-10,52
2018-12-11,64
2018-12-12,51
2018-12-13,40
2018-12-14,33
2018-12-15,39
2018-12-16,39
2018-12-17,47
2018-12-18,53
2018-12-19,47
2018-12-20,33
2018-12-21,34
2018-12-22,35
2018-12-23,42
2018-12-24,55
2018-12-25,70
2018-12-26,66
2018-12-27,51
2018-12-28,41
2018-12-29,44
2018-12-30,42
2018-12-31,42
2019-01-01,51
2019-01-02,48
2019-01-03,45
2019-01-04,43
2019-01-05,39
2019-01-06,46
2019-01-07,63
2019-01-08,74
2019-01-09,52
2019-01-10,40
2019-01-11,37
2019-01-12,39
2019-01-13,44
2019-01-14,61
2019-01-15,75
2019-01-16,51
2019-01-17,37
2019-01-18,39
2019-01-19,38
2019-01-20,41
2019-01-21,52
2019-01-22,79
2019-01-23,54
2019-01-24,42
2019-01-25,40
2019-01-26,48
2019-01-27,47
2019-01-28,59
2019-01-29,76
2019-01-30,54
2019-01-31,42
2019-02-01,39
2019-02-02,47
2019-02-03,49
2019-02-04,53
2019-02-05,60
2019-02-06,49
2019-02-07,40
2019-02-08,37
2019-02-09,41
2019-02-10,44
2019-02-11,61
2019-02-12,61
2019-02-13,53
2019-02-14,39
2019-02-15,36
2019-02-16,41
2019-02-17,37
2019-02-18,48
2019-02-19,71
2019-02-20,47
2019-02-21,38
2019-02-22,32
2019-02-23,37
2019-02-24,35
2019-02-25,44
2019-02-26,57
2019-02-27,45
2019-02-28,33
2019-03-01,33
