date,pv,edit_count,editor_count
2021-01-12,16298,2,2
2021-01-13,18573,1,1
2021-01-14,12653,1,1
2021-01-15,10748,0,0
2021-01-16,12781,1,1
2021-01-17,12969,2,2
2021-01-18,9789,0,0
2021-01-19,13686,1,1
2021-01-20,16984,0,0
2021-01-21,12220,0,0
2021-01-22,11238,0,0
2021-01-23,13272,1,1
2021-01-24,12836,2,2
2021-01-25,10486,0,0
2021-01-26,15070,1,1
2021-01-27,17837,0,0
2021-01-28,13376,0,0
2021-01-29,10818,0,0
2021-01-30,13013,0,0
2021-01-31,12735,2,2
2021-02-01,9458,0,0
2021-02-02,18611,2,2
2021-02-03,26828,1,1
2021-02-04,15298,0,0
2021-02-05,11983,1,1
2021-02-06,12760,1,1
2021-02-07,12881,1,1
2021-02-08,9683,1,1
2021-02-09,19028,2,2
2021-02-10,29676,2,2
2021-02-11,21897,1,1
2021-02-12,14009,1,1
2021-02-13,13731,1,1
2021-02-14,12471,0,0
2021-02-15,10053,0,0
2021-02-16,22530,1,1
2021-02-17,34747,0,0
2021-02-18,20855,0,0
2021-02-19,15635,0,0
2021-02-20,15531,2,2
2021-02-21,14545,0,0
2021-02-22,11067,0,0
2021-02-23,18955,2,2
2021-02-24,25423,0,0
2021-02-25,17278,0,0
2021-02-26,14647,0,0
2021-02-27,15014,0,0
2021-02-28,13932,2,2
2021-03-01,10550,0,0
2021-03-02,16807,1,1
2021-03-03,24469,1,1
2021-03-04,16673,0,0
2021-03-05,13464,0,0
2021-03-06,13595,2,2
2021-03-07,12994,1,1
2021-03-08,10215,1,1
2021-03-09,14169,1,1
2021-03-10,19372,1,1
2021-03-11,14394,0,0
2021-03-12,12443,0,0
2021-03-13,12636,0,0
2021-03-14,11283,0,0
2021-03-15,9299,0,0
2021-03-16,18357,1,1
2021-03-17,26183,0,0
2021-03-18,17050,0,0
2021-03-19,14950,1,1
2021-03-20,14066,1,1
2021-03-21,14978,1,1
2021-03-22,11735,1,1
2021-03-23,24805,1,1
2021-03-24,42490,0,0
2021-03-25,25625,3,3
2021-03-26,21324,0,0
2021-03-27,20079,0,0
2021-03-28,19194,1,1
2021-03-29,16346,0,0
2021-03-30,25562,2,2
2021-03-31,40921,1,1
2021-04-01,27132,4,4
2021-04-02,24086,0,0
2021-04-03,23602,2,2
2021-04-04,22125,1,1
2021-04-05,16664,1,1
2021-04-06,17762,2,2
2021-04-07,20827,2,2
2021-04-08,17893,1,1
2021-04-09,14069,0,0
2021-04-10,15680,0,0
2021-04-11,15684,1,1
2021-04-12,11709,0,0
2021-04-13,13508,2,2
2021-04-14,14027,0,0
2021-04-15,10974,1,1
2021-04-16,10276,0,0
2021-04-17,13123,0,0
2021-04-18,12476,0,0
2021-04-19,9362,0,0
2021-04-20,9878,1,1
2021-04-21,10264,0,0
2021-04-22,8447,1,1
2021-04-23,7805,1,1
2021-04-24,9251,0,0
2021-04-25,9774,0,0
2021-04-26,8348,1,1
2021-04-27,8786,3,3
2021-04-28,9263,0,0
2021-04-29,9780,1,1
2021-04-30,7364,0,0
2021-05-01,8200,0,0
2021-05-02,8315,0,0
2021-05-03,8997,1,1
2021-05-04,11677,2,2
2021-05-05,12671,2,2
2021-05-06,8549,0,0
2021-05-07,8025,2,2
2021-05-08,8578,0,0
2021-05-09,9533,0,0
2021-05-10,6967,0,0
2021-05-11,7998,1,1
2021-05-12,8381,0,0
2021-05-13,6948,0,0
2021-05-14,6323,0,0
2021-05-15,7744,0,0
2021-05-16,10820,2,2
2021-05-17,7625,0,0
2021-05-18,8097,2,2
2021-05-19,8206,0,0
2021-05-20,7032,0,0
2021-05-21,6604,0,0
2021-05-22,7482,0,0
2021-05-23,7336,0,0
2021-05-24,6088,0,0
2021-05-25,7722,4,4
2021-05-26,8580,1,1
2021-05-27,7179,0,0
2021-05-28,6342,2,2
2021-05-29,7549,1,1
2021-05-30,7841,0,0
2021-05-31,6111,0,0
2021-06-01,7075,1,1
2021-06-02,8317,1,1
2021-06-03,6943,0,0
2021-06-04,6488,1,1
2021-06-05,6948,0,0
2021-06-06,7026,0,0
2021-06-07,5851,0,0
2021-06-08,6514,1,1
2021-06-09,6461,0,0
2021-06-10,5877,0,0
2021-06-11,5672,0,0
2021-06-12,6347,0,0
2021-06-13,7161,0,0
2021-06-14,6654,0,0
2021-06-15,8499,1,1
2021-06-16,8920,0,0
2021-06-17,7262,1,1
2021-06-18,7463,1,1
2021-06-19,7509,0,0
2021-06-20,6956,0,0
2021-06-21,5455,0,0
2021-06-22,6700,1,1
2021-06-23,8048,0,0
2021-06-24,6576,1,1
2021-06-25,7338,0,0
2021-06-26,8744,0,0
2021-06-27,8876,0,0
2021-06-28,7661,0,0
2021-06-29,9511,0,0
2021-06-30,10500,1,1
2021-07-01,8383,0,0
2021-07-02,8637,0,0
2021-07-03,9464,0,0
2021-07-04,10038,1,1
2021-07-05,8254,0,0
2021-07-06,17045,3,3
2021-07-07,16270,0,0
2021-07-08,13625,1,1
2021-07-09,12560,0,0
2021-07-10,12999,0,0
2021-07-11,12047,0,0
2021-07-12,9768,0,0
2021-07-13,16495,1,1
2021-07-14,20718,0,0
2021-07-15,13180,2,2
2021-07-16,10819,0,0
2021-07-17,10524,0,0
2021-07-18,10635,0,0
2021-07-19,8075,0,0
2021-07-20,10950,1,1
2021-07-21,14358,0,0
2021-07-22,11923,0,0
2021-07-23,9971,0,0
2021-07-24,9899,1,1
2021-07-25,10019,0,0
2021-07-26,8489,0,0
2021-07-27,11538,4,4
2021-07-28,14407,0,0
2021-07-29,10708,0,0
2021-07-30,9205,4,4
2021-07-31,9645,1,1
2021-08-01,9200,0,0
2021-08-02,7410,0,0
2021-08-03,11018,1,1
2021-08-04,15219,0,0
2021-08-05,10315,0,0
2021-08-06,8908,0,0
2021-08-07,9719,0,0
2021-08-08,9422,1,1
2021-08-09,10098,0,0
2021-08-10,19950,2,2
2021-08-11,30505,0,0
2021-08-12,18973,0,0
2021-08-13,14771,0,0
2021-08-14,14777,2,2
2021-08-15,13498,0,0
2021-08-16,10905,1,1
2021-08-17,13756,1,1
2021-08-18,20603,0,0
2021-08-19,14559,0,0
2021-08-20,12039,0,0
2021-08-21,13897,1,1
2021-08-22,13198,1,1
2021-08-23,10689,1,1
2021-08-24,14536,1,1
2021-08-25,18666,0,0
2021-08-26,13683,1,1
2021-08-27,12474,0,0
2021-08-28,13176,0,0
2021-08-29,12429,0,0
2021-08-30,9476,0,0
2021-08-31,16692,1,1
2021-09-01,24757,0,0
2021-09-02,16547,0,0
2021-09-03,13996,0,0
2021-09-04,14110,0,0
2021-09-05,12646,0,0
2021-09-06,9951,0,0
2021-09-07,17885,2,2
2021-09-08,28569,2,2
2021-09-09,18086,0,0
2021-09-10,14401,0,0
2021-09-11,14961,0,0
2021-09-12,13575,0,0
2021-09-13,10622,0,0
2021-09-14,16059,1,1
2021-09-15,24469,0,0
2021-09-16,16361,1,1
2021-09-17,13713,0,0
2021-09-18,14525,0,0
2021-09-19,12682,1,1
2021-09-20,12143,0,0
2021-09-21,20745,2,2
2021-09-22,31561,0,0
2021-09-23,21953,2,2
2021-09-24,15084,1,1
2021-09-25,14704,0,0
2021-09-26,14710,0,0
2021-09-27,10932,1,1
2021-09-28,12084,0,0
2021-09-29,15945,0,0
2021-09-30,12384,0,0
2021-10-01,10509,0,0
2021-10-02,11887,0,0
2021-10-03,12148,0,0
2021-10-04,8648,0,0
2021-10-05,8288,0,0
2021-10-06,7768,0,0
2021-10-07,6930,0,0
2021-10-08,6382,0,0
2021-10-09,7386,1,1
2021-10-10,8024,0,0
2021-10-11,6558,0,0
2021-10-12,6309,0,0
2021-10-13,6043,0,0
2021-10-14,5410,0,0
2021-10-15,5474,0,0
2021-10-16,6117,0,0
2021-10-17,6479,0,0
2021-10-18,5086,0,0
2021-10-19,4738,0,0
2021-10-20,4701,0,0
2021-10-21,4504,0,0
2021-10-22,4375,0,0
2021-10-23,4943,0,0
2021-10-24,5578,0,0
2021-10-25,4978,0,0
2021-10-26,5200,1,1
2021-10-27,5002,0,0
2021-10-28,5460,1,1
2021-10-29,5202,0,0
2021-10-30,5879,0,0
2021-10-31,6021,0,0
2021-11-01,5434,1,1
2021-11-02,5700,1,1
2021-11-03,6750,0,0
2021-11-04,5885,0,0
2021-11-05,5845,0,0
2021-11-06,6632,0,0
2021-11-07,6900,0,0
2021-11-08,6000,0,0
2021-11-09,5874,0,0
2021-11-10,5631,0,0
2021-11-11,5094,0,0
2021-11-12,5063,0,0
2021-11-13,5975,2,2
2021-11-14,7099,0,0
2021-11-15,5833,0,0
2021-11-16,5594,0,0
2021-11-17,5319,0,0
2021-11-18,4882,0,0
2021-11-19,4880,0,0
2021-11-20,5661,0,0
2021-11-21,6326,0,0
2021-11-22,5571,0,0
2021-11-23,5954,0,0
2021-11-24,4593,0,0
2021-11-25,4760,0,0
2021-11-26,4884,1,1
2021-11-27,5126,1,1
2021-11-28,6396,0,0
2021-11-29,4547,0,0
2021-11-30,4927,1,1
2021-12-01,4569,0,0
2021-12-02,4505,1,1
2021-12-03,4303,1,1
2021-12-04,5120,1,1
2021-12-05,6099,2,2
2021-12-06,4535,1,1
2021-12-07,4485,1,1
2021-12-08,4778,1,1
2021-12-09,4841,1,1
2021-12-10,4632,1,1
2021-12-11,5061,2,2
2021-12-12,5495,1,1
2021-12-13,4375,0,0
2021-12-14,4355,0,0
2021-12-15,4007,0,0
2021-12-16,3698,0,0
2021-12-17,3595,0,0
2021-12-18,4195,2,2
2021-12-19,4434,1,1
2021-12-20,3966,0,0
