date,pv,edit_count,editor_count
2020-04-02,,0,0
2020-04-03,,0,0
2020-04-04,,0,0
2020-04-05,,0,0
2020-04-06,,0,0
2020-04-07,,0,0
2020-04-08,,0,0
2020-04-09,691.0,2,2
2020-04-10,199.0,0,0
2020-04-11,181.0,0,0
2020-04-12,147.0,0,0
2020-04-13,151.0,0,0
2020-04-14,141.0,0,0
2020-04-15,184.0,0,0
2020-04-16,159.0,0,0
2020-04-17,128.0,0,0
2020-04-18,139.0,0,0
2020-04-19,117.0,0,0
2020-04-20,115.0,0,0
2020-04-21,119.0,0,0
2020-04-22,196.0,0,0
2020-04-23,173.0,0,0
2020-04-24,124.0,0,0
2020-04-25,134.0,0,0
2020-04-26,172.0,0,0
2020-04-27,142.0,0,0
2020-04-28,175.0,1,1
2020-04-29,235.0,0,0
2020-04-30,289.0,0,0
2020-05-01,160.0,0,0
2020-05-02,152.0,0,0
2020-05-03,167.0,0,0
2020-05-04,187.0,0,0
2020-05-05,139.0,0,0
2020-05-06,251.0,0,0
2020-05-07,244.0,0,0
2020-05-08,181.0,0,0
2020-05-09,187.0,0,0
2020-05-10,150.0,0,0
2020-05-11,143.0,0,0
2020-05-12,152.0,1,1
2020-05-13,212.0,0,0
2020-05-14,218.0,0,0
2020-05-15,164.0,0,0
2020-05-16,201.0,0,0
2020-05-17,145.0,0,0
2020-05-18,157.0,0,0
2020-05-19,140.0,0,0
2020-05-20,178.0,0,0
2020-05-21,182.0,0,0
2020-05-22,159.0,0,0
2020-05-23,132.0,0,0
2020-05-24,142.0,0,0
2020-05-25,119.0,0,0
2020-05-26,133.0,0,0
2020-05-27,214.0,0,0
2020-05-28,198.0,0,0
2020-05-29,159.0,0,0
2020-05-30,151.0,0,0
2020-05-31,145.0,0,0
2020-06-01,128.0,0,0
2020-06-02,111.0,0,0
2020-06-03,170.0,0,0
2020-06-04,184.0,0,0
2020-06-05,139.0,0,0
2020-06-06,115.0,0,0
2020-06-07,125.0,0,0
2020-06-08,106.0,0,0
2020-06-09,100.0,0,0
2020-06-10,139.0,0,0
2020-06-11,172.0,0,0
2020-06-12,114.0,0,0
2020-06-13,120.0,0,0
2020-06-14,129.0,0,0
2020-06-15,120.0,0,0
2020-06-16,97.0,0,0
2020-06-17,186.0,0,0
2020-06-18,239.0,0,0
2020-06-19,183.0,0,0
2020-06-20,162.0,0,0
2020-06-21,153.0,0,0
2020-06-22,169.0,0,0
2020-06-23,111.0,0,0
2020-06-24,220.0,0,0
2020-06-25,404.0,0,0
2020-06-26,230.0,0,0
2020-06-27,204.0,0,0
2020-06-28,192.0,0,0
2020-06-29,175.0,0,0
2020-06-30,130.0,0,0
2020-07-01,130.0,0,0
