date,gt_score
2021-02-07,1
2021-02-08,2
2021-02-09,2
2021-02-10,2
2021-02-11,2
2021-02-12,2
2021-02-13,1
2021-02-14,1
2021-02-15,2
2021-02-16,3
2021-02-17,2
2021-02-18,2
2021-02-19,2
2021-02-20,2
2021-02-21,2
2021-02-22,7
2021-02-23,10
2021-02-24,63
2021-02-25,47
2021-02-26,41
2021-02-27,56
2021-02-28,54
2021-03-01,63
2021-03-02,72
2021-03-03,72
2021-03-04,70
2021-03-05,65
2021-03-06,77
2021-03-07,79
2021-03-08,75
2021-03-09,84
2021-03-10,93
2021-03-11,80
2021-03-12,76
2021-03-13,88
2021-03-14,90
2021-03-15,83
2021-03-16,83
2021-03-17,96
2021-03-18,86
2021-03-19,79
2021-03-20,88
2021-03-21,84
2021-03-22,82
2021-03-23,81
2021-03-24,74
2021-03-25,72
2021-03-26,65
2021-03-27,67
2021-03-28,68
2021-03-29,78
2021-03-30,100
2021-03-31,71
2021-04-01,64
2021-04-02,67
2021-04-03,71
2021-04-04,72
2021-04-05,66
2021-04-06,67
2021-04-07,68
2021-04-08,67
2021-04-09,62
2021-04-10,72
2021-04-11,73
2021-04-12,63
2021-04-13,64
2021-04-14,70
2021-04-15,70
2021-04-16,62
2021-04-17,69
2021-04-18,67
2021-04-19,61
2021-04-20,58
2021-04-21,57
2021-04-22,56
2021-04-23,55
2021-04-24,68
2021-04-25,66
2021-04-26,67
2021-04-27,69
2021-04-28,72
2021-04-29,59
2021-04-30,65
2021-05-01,67
2021-05-02,68
2021-05-03,78
2021-05-04,74
2021-05-05,73
2021-05-06,73
2021-05-07,65
2021-05-08,71
2021-05-09,70
2021-05-10,66
2021-05-11,65
2021-05-12,64
2021-05-13,66
2021-05-14,70
2021-05-15,72
2021-05-16,70
2021-05-17,77
2021-05-18,68
2021-05-19,65
2021-05-20,58
2021-05-21,58
2021-05-22,66
2021-05-23,63
2021-05-24,58
2021-05-25,56
2021-05-26,52
2021-05-27,60
2021-05-28,67
2021-05-29,62
2021-05-30,62
2021-05-31,52
2021-06-01,54
2021-06-02,51
2021-06-03,49
2021-06-04,47
2021-06-05,54
2021-06-06,51
2021-06-07,47
2021-06-08,43
2021-06-09,49
2021-06-10,54
2021-06-11,44
2021-06-12,50
2021-06-13,46
2021-06-14,47
2021-06-15,46
2021-06-16,42
2021-06-17,41
2021-06-18,40
2021-06-19,47
2021-06-20,52
2021-06-21,51
2021-06-22,42
2021-06-23,41
2021-06-24,36
2021-06-25,35
2021-06-26,41
2021-06-27,41
2021-06-28,40
2021-06-29,47
2021-06-30,37
2021-07-01,35
2021-07-02,35
2021-07-03,37
2021-07-04,40
2021-07-05,33
2021-07-06,33
2021-07-07,29
