date,gt_score
2023-10-07,100
2023-10-08,73
2023-10-09,65
2023-10-10,44
2023-10-11,55
2023-10-12,37
2023-10-13,0
2023-10-14,59
2023-10-15,27
2023-10-16,29
2023-10-17,0
2023-10-18,29
2023-10-19,33
2023-10-20,35
2023-10-21,52
2023-10-22,38
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,47
2023-10-28,47
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,0
2023-11-03,28
2023-11-04,41
2023-11-05,0
2023-11-06,0
2023-11-07,25
2023-11-08,0
2023-11-09,0
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,0
2023-11-15,0
2023-11-16,0
2023-11-17,0
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,0
2023-11-28,0
2023-11-29,28
2023-11-30,0
2023-12-01,0
2023-12-02,41
2023-12-03,0
2023-12-04,0
2023-12-05,0
2023-12-06,0
2023-12-07,0
2023-12-08,0
2023-12-09,0
2023-12-10,0
2023-12-11,0
2023-12-12,23
2023-12-13,0
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-22,0
2023-12-23,0
2023-12-24,29
2023-12-25,0
2023-12-26,28
2023-12-27,0
2023-12-28,30
2023-12-29,40
2023-12-30,0
2023-12-31,36
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,27
2024-01-05,30
