date,pv,edit_count,editor_count
2023-10-07,11297,2,2
2023-10-08,7170,0,0
2023-10-09,5617,1,1
2023-10-10,3593,0,0
2023-10-11,2826,0,0
2023-10-12,2488,0,0
2023-10-13,5912,1,1
2023-10-14,10068,2,2
2023-10-15,6691,1,1
2023-10-16,4781,0,0
2023-10-17,3673,0,0
2023-10-18,3119,0,0
2023-10-19,2687,0,0
2023-10-20,4648,2,2
2023-10-21,7256,0,0
2023-10-22,4876,0,0
2023-10-23,3162,0,0
2023-10-24,2520,0,0
2023-10-25,2119,0,0
2023-10-26,2015,0,0
2023-10-27,4119,1,1
2023-10-28,5751,0,0
2023-10-29,3915,0,0
2023-10-30,2748,0,0
2023-10-31,2120,0,0
2023-11-01,1869,1,1
2023-11-02,1628,0,0
2023-11-03,4132,3,3
2023-11-04,5625,0,0
2023-11-05,4045,2,2
2023-11-06,3337,1,1
2023-11-07,2369,0,0
2023-11-08,2036,1,1
2023-11-09,1672,0,0
2023-11-10,3255,3,3
2023-11-11,4271,1,1
2023-11-12,3091,1,1
2023-11-13,2130,0,0
2023-11-14,1615,0,0
2023-11-15,1613,1,1
2023-11-16,1503,0,0
2023-11-17,2793,1,1
2023-11-18,3451,0,0
2023-11-19,2569,0,0
2023-11-20,1820,1,1
2023-11-21,1323,0,0
2023-11-22,1342,0,0
2023-11-23,1400,1,1
2023-11-24,2894,1,1
2023-11-25,3958,1,1
2023-11-26,2681,0,0
2023-11-27,1733,0,0
2023-11-28,1497,0,0
2023-11-29,1411,0,0
2023-11-30,1151,0,0
2023-12-01,2566,2,2
2023-12-02,4059,0,0
2023-12-03,2517,2,2
2023-12-04,1799,1,1
2023-12-05,1591,0,0
2023-12-06,1268,0,0
2023-12-07,1232,0,0
2023-12-08,2985,1,1
2023-12-09,4265,1,1
2023-12-10,2674,1,1
2023-12-11,1955,0,0
2023-12-12,1510,0,0
2023-12-13,1359,0,0
2023-12-14,1349,0,0
2023-12-15,2818,1,1
2023-12-16,4385,3,3
2023-12-17,2542,0,0
2023-12-18,2001,0,0
2023-12-19,1549,0,0
2023-12-20,1307,0,0
2023-12-21,1329,0,0
2023-12-22,2720,1,1
2023-12-23,4634,1,1
2023-12-24,3384,0,0
2023-12-25,2402,0,0
2023-12-26,1785,0,0
2023-12-27,1782,0,0
2023-12-28,1777,0,0
2023-12-29,2230,0,0
2023-12-30,2361,0,0
2023-12-31,1819,0,0
2024-01-01,1585,0,0
2024-01-02,1755,1,1
2024-01-03,1857,0,0
2024-01-04,1993,1,1
2024-01-05,3822,1,1
