date,gt_score
2019-07-08,100
2019-07-09,59
2019-07-10,41
2019-07-11,27
2019-07-12,20
2019-07-13,27
2019-07-14,35
2019-07-15,25
2019-07-16,15
2019-07-17,16
2019-07-18,13
2019-07-19,13
2019-07-20,18
2019-07-21,17
2019-07-22,14
2019-07-23,11
2019-07-24,18
2019-07-25,15
2019-07-26,15
2019-07-27,13
2019-07-28,32
2019-07-29,27
2019-07-30,18
2019-07-31,10
2019-08-01,8
2019-08-02,7
2019-08-03,12
2019-08-04,24
2019-08-05,16
2019-08-06,12
2019-08-07,10
2019-08-08,9
2019-08-09,9
2019-08-10,10
2019-08-11,20
2019-08-12,20
2019-08-13,11
2019-08-14,10
2019-08-15,9
2019-08-16,8
2019-08-17,10
2019-08-18,18
2019-08-19,18
2019-08-20,13
2019-08-21,9
2019-08-22,7
2019-08-23,7
2019-08-24,9
2019-08-25,20
2019-08-26,20
2019-08-27,13
2019-08-28,10
2019-08-29,8
2019-08-30,8
2019-08-31,8
2019-09-01,18
2019-09-02,22
2019-09-03,9
2019-09-04,9
2019-09-05,7
2019-09-06,6
2019-09-07,9
2019-09-08,27
2019-09-09,29
2019-09-10,11
2019-09-11,9
2019-09-12,7
2019-09-13,7
2019-09-14,6
2019-09-15,16
2019-09-16,17
2019-09-17,12
2019-09-18,7
2019-09-19,6
2019-09-20,3
2019-09-21,7
2019-09-22,18
2019-09-23,24
2019-09-24,11
2019-09-25,7
2019-09-26,6
2019-09-27,7
2019-09-28,8
2019-09-29,17
2019-09-30,21
2019-10-01,13
2019-10-02,10
2019-10-03,8
2019-10-04,7
2019-10-05,7
2019-10-06,17
2019-10-07,21
2019-10-08,11
2019-10-09,8
2019-10-10,6
2019-10-11,6
2019-10-12,6
2019-10-13,21
2019-10-14,29
2019-10-15,13
2019-10-16,9
2019-10-17,7
2019-10-18,5
2019-10-19,7
2019-10-20,16
2019-10-21,20
2019-10-22,13
2019-10-23,7
2019-10-24,7
2019-10-25,8
2019-10-26,9
2019-10-27,17
2019-10-28,19
2019-10-29,11
2019-10-30,8
2019-10-31,8
2019-11-01,7
2019-11-02,7
2019-11-03,22
2019-11-04,24
2019-11-05,12
2019-11-06,13
2019-11-07,8
2019-11-08,9
2019-11-09,9
2019-11-10,13
2019-11-11,11
2019-11-12,8
2019-11-13,7
2019-11-14,6
2019-11-15,7
2019-11-16,7
2019-11-17,13
2019-11-18,20
2019-11-19,9
2019-11-20,10
2019-11-21,7
2019-11-22,12
2019-11-23,10
2019-11-24,20
2019-11-25,18
2019-11-26,15
2019-11-27,8
2019-11-28,8
2019-11-29,6
2019-11-30,9
2019-12-01,14
2019-12-02,19
2019-12-03,11
2019-12-04,10
2019-12-05,9
