date,pv,edit_count,editor_count
2019-07-08,37999,1,1
2019-07-09,19446,3,3
2019-07-10,12559,0,0
2019-07-11,9307,0,0
2019-07-12,7490,0,0
2019-07-13,9897,3,3
2019-07-14,8899,0,0
2019-07-15,8847,0,0
2019-07-16,4817,0,0
2019-07-17,3791,0,0
2019-07-18,3443,0,0
2019-07-19,3238,0,0
2019-07-20,4835,0,0
2019-07-21,5602,0,0
2019-07-22,2862,0,0
2019-07-23,2521,0,0
2019-07-24,5090,0,0
2019-07-25,4378,0,0
2019-07-26,4423,0,0
2019-07-27,4558,0,0
2019-07-28,10723,1,1
2019-07-29,9216,0,0
2019-07-30,4898,1,1
2019-07-31,3728,1,1
2019-08-01,2946,0,0
2019-08-02,2754,1,1
2019-08-03,3064,0,0
2019-08-04,8775,1,1
2019-08-05,6757,0,0
2019-08-06,4403,0,0
2019-08-07,3743,0,0
2019-08-08,2836,0,0
2019-08-09,2491,1,1
2019-08-10,2818,0,0
2019-08-11,7900,2,2
2019-08-12,7572,0,0
2019-08-13,4413,0,0
2019-08-14,3793,0,0
2019-08-15,3502,0,0
2019-08-16,3697,0,0
2019-08-17,2856,0,0
2019-08-18,7197,1,1
2019-08-19,6293,0,0
2019-08-20,4013,1,1
2019-08-21,4022,0,0
2019-08-22,2834,0,0
2019-08-23,2318,1,1
2019-08-24,3679,0,0
2019-08-25,10130,1,1
2019-08-26,9731,0,0
2019-08-27,5416,1,1
2019-08-28,3795,0,0
2019-08-29,2856,0,0
2019-08-30,2648,0,0
2019-08-31,2924,0,0
2019-09-01,8481,4,4
2019-09-02,7993,0,0
2019-09-03,4636,0,0
2019-09-04,3457,0,0
2019-09-05,2606,0,0
2019-09-06,2342,0,0
2019-09-07,2871,0,0
2019-09-08,3736,0,0
2019-09-09,3110,0,0
2019-09-10,2069,4,4
2019-09-11,1808,1,1
2019-09-12,1533,0,0
2019-09-13,1508,0,0
2019-09-14,1787,0,0
2019-09-15,5677,1,1
2019-09-16,6595,0,0
2019-09-17,3970,0,0
2019-09-18,2443,0,0
2019-09-19,1921,0,0
2019-09-20,1746,0,0
2019-09-21,2025,1,1
2019-09-22,7491,1,1
2019-09-23,7554,0,0
2019-09-24,3609,0,0
2019-09-25,2615,0,0
2019-09-26,2183,0,0
2019-09-27,1994,0,0
2019-09-28,2380,0,0
2019-09-29,7275,1,1
2019-09-30,6671,0,0
2019-10-01,3908,0,0
2019-10-02,3233,0,0
2019-10-03,2872,0,0
2019-10-04,2493,0,0
2019-10-05,2588,0,0
2019-10-06,7291,2,2
2019-10-07,7716,0,0
2019-10-08,4376,0,0
2019-10-09,3045,0,0
2019-10-10,2218,0,0
2019-10-11,2065,0,0
2019-10-12,2777,0,0
2019-10-13,10710,1,1
2019-10-14,8386,0,0
2019-10-15,4148,0,0
2019-10-16,2910,0,0
2019-10-17,2202,0,0
2019-10-18,2066,0,0
2019-10-19,2458,0,0
2019-10-20,6270,1,1
2019-10-21,5671,0,0
2019-10-22,4795,0,0
2019-10-23,2845,0,0
2019-10-24,2280,0,0
2019-10-25,2161,0,0
2019-10-26,2361,0,0
2019-10-27,6603,1,1
2019-10-28,5320,1,1
2019-10-29,3601,1,1
2019-10-30,2782,0,0
2019-10-31,2047,0,0
2019-11-01,1993,0,0
2019-11-02,2322,0,0
2019-11-03,8545,1,1
2019-11-04,8541,0,0
2019-11-05,4511,0,0
2019-11-06,3479,0,0
2019-11-07,2629,0,0
2019-11-08,2287,0,0
2019-11-09,2450,0,0
2019-11-10,3156,0,0
2019-11-11,2528,1,1
2019-11-12,1976,1,1
2019-11-13,1962,0,0
2019-11-14,1694,0,0
2019-11-15,1508,0,0
2019-11-16,1839,0,0
2019-11-17,5178,1,1
2019-11-18,5072,0,0
2019-11-19,2841,0,0
2019-11-20,2309,2,2
2019-11-21,2222,0,0
2019-11-22,3514,0,0
2019-11-23,3481,0,0
2019-11-24,7086,1,1
2019-11-25,6484,0,0
2019-11-26,4200,0,0
2019-11-27,3120,0,0
2019-11-28,2562,0,0
2019-11-29,2180,0,0
2019-11-30,2368,0,0
2019-12-01,6608,1,1
2019-12-02,6848,0,0
2019-12-03,4020,0,0
2019-12-04,2894,0,0
2019-12-05,2271,0,0
2019-12-06,2134,0,0
2019-12-07,2567,0,0
2019-12-08,5976,1,1
2019-12-09,5528,0,0
2019-12-10,3539,0,0
2019-12-11,2658,0,0
2019-12-12,2125,0,0
2019-12-13,2051,0,0
2019-12-14,2341,0,0
2019-12-15,5593,1,1
2019-12-16,4675,0,0
2019-12-17,3048,0,0
2019-12-18,2349,0,0
2019-12-19,1909,0,0
2019-12-20,1720,0,0
2019-12-21,1999,0,0
2019-12-22,5584,1,1
2019-12-23,5220,0,0
2019-12-24,3073,1,1
2019-12-25,2484,0,0
2019-12-26,2273,0,0
2019-12-27,2142,0,0
2019-12-28,2315,0,0
2019-12-29,12386,1,1
2019-12-30,14237,1,1
2019-12-31,6300,0,0
2020-01-01,4709,0,0
2020-01-02,4557,0,0
2020-01-03,4389,0,0
2020-01-04,4284,0,0
2020-01-05,4945,0,0
2020-01-06,3630,0,0
2020-01-07,3166,0,0
2020-01-08,2686,0,0
2020-01-09,2530,0,0
2020-01-10,2410,0,0
2020-01-11,2557,1,1
2020-01-12,2970,0,0
2020-01-13,2946,0,0
2020-01-14,2182,0,0
2020-01-15,1931,0,0
2020-01-16,1672,0,0
2020-01-17,1604,0,0
2020-01-18,1930,0,0
2020-01-19,2100,0,0
2020-01-20,1678,0,0
2020-01-21,1531,1,1
2020-01-22,1531,0,0
2020-01-23,1346,0,0
2020-01-24,1384,0,0
2020-01-25,1630,0,0
2020-01-26,1806,0,0
2020-01-27,1406,0,0
2020-01-28,1382,0,0
2020-01-29,1278,0,0
2020-01-30,1159,0,0
2020-01-31,1126,0,0
2020-02-01,1353,0,0
2020-02-02,1583,2,2
2020-02-03,1266,0,0
2020-02-04,1191,0,0
2020-02-05,1187,0,0
2020-02-06,1132,0,0
2020-02-07,1237,0,0
2020-02-08,1329,0,0
2020-02-09,1355,0,0
2020-02-10,1133,0,0
2020-02-11,1427,0,0
2020-02-12,1221,0,0
2020-02-13,1103,1,1
2020-02-14,1203,0,0
2020-02-15,1366,0,0
2020-02-16,1550,0,0
2020-02-17,1044,0,0
2020-02-18,1010,1,1
2020-02-19,1032,0,0
2020-02-20,984,0,0
2020-02-21,1014,0,0
2020-02-22,1327,0,0
2020-02-23,1429,0,0
2020-02-24,1523,0,0
2020-02-25,1128,0,0
2020-02-26,1119,0,0
2020-02-27,1070,0,0
2020-02-28,959,0,0
2020-02-29,1312,0,0
2020-03-01,1360,0,0
2020-03-02,1079,0,0
2020-03-03,1085,0,0
2020-03-04,1086,0,0
2020-03-05,1025,0,0
2020-03-06,1008,0,0
2020-03-07,1310,0,0
2020-03-08,1374,0,0
2020-03-09,1113,0,0
2020-03-10,1089,0,0
2020-03-11,970,0,0
2020-03-12,907,0,0
2020-03-13,917,0,0
2020-03-14,1141,0,0
2020-03-15,1217,0,0
2020-03-16,950,0,0
2020-03-17,833,0,0
2020-03-18,854,0,0
2020-03-19,802,0,0
2020-03-20,970,1,1
2020-03-21,975,0,0
2020-03-22,1011,0,0
2020-03-23,820,0,0
2020-03-24,791,1,1
2020-03-25,729,0,0
2020-03-26,631,0,0
2020-03-27,827,1,1
2020-03-28,1000,0,0
2020-03-29,1133,0,0
