date,gt_score
2018-01-11,100
2018-01-12,59
2018-01-13,46
2018-01-14,43
2018-01-15,32
2018-01-16,24
2018-01-17,43
2018-01-18,58
2018-01-19,42
2018-01-20,63
2018-01-21,41
2018-01-22,22
2018-01-23,21
2018-01-24,32
2018-01-25,42
2018-01-26,31
2018-01-27,31
2018-01-28,30
2018-01-29,19
2018-01-30,17
2018-01-31,28
2018-02-01,36
2018-02-02,29
2018-02-03,30
2018-02-04,28
2018-02-05,16
2018-02-06,19
2018-02-07,27
2018-02-08,41
2018-02-09,28
2018-02-10,29
2018-02-11,24
2018-02-12,24
2018-02-13,17
2018-02-14,28
2018-02-15,43
2018-02-16,32
2018-02-17,33
2018-02-18,32
2018-02-19,25
2018-02-20,18
2018-02-21,28
2018-02-22,49
2018-02-23,28
2018-02-24,33
2018-02-25,31
2018-02-26,22
2018-02-27,16
2018-02-28,29
2018-03-01,40
2018-03-02,30
2018-03-03,28
2018-03-04,23
2018-03-05,16
2018-03-06,18
2018-03-07,36
2018-03-08,51
2018-03-09,33
2018-03-10,28
2018-03-11,24
2018-03-12,19
2018-03-13,20
2018-03-14,30
2018-03-15,52
2018-03-16,38
2018-03-17,35
2018-03-18,34
2018-03-19,22
2018-03-20,24
2018-03-21,41
2018-03-22,49
2018-03-23,39
2018-03-24,31
2018-03-25,28
2018-03-26,24
2018-03-27,22
2018-03-28,42
2018-03-29,51
2018-03-30,38
2018-03-31,34
2018-04-01,28
2018-04-02,27
2018-04-03,23
2018-04-04,48
2018-04-05,82
2018-04-06,51
2018-04-07,50
2018-04-08,40
2018-04-09,25
2018-04-10,21
2018-04-11,20
2018-04-12,14
2018-04-13,19
2018-04-14,19
2018-04-15,21
2018-04-16,17
2018-04-17,13
2018-04-18,13
2018-04-19,15
2018-04-20,14
2018-04-21,14
2018-04-22,17
2018-04-23,12
2018-04-24,11
2018-04-25,9
2018-04-26,9
2018-04-27,9
2018-04-28,12
2018-04-29,11
2018-04-30,12
2018-05-01,10
2018-05-02,9
2018-05-03,12
2018-05-04,14
2018-05-05,13
2018-05-06,12
2018-05-07,8
2018-05-08,9
2018-05-09,8
2018-05-10,7
2018-05-11,6
2018-05-12,12
2018-05-13,8
2018-05-14,9
2018-05-15,7
2018-05-16,9
2018-05-17,7
2018-05-18,7
2018-05-19,9
2018-05-20,8
2018-05-21,8
2018-05-22,5
2018-05-23,6
2018-05-24,5
2018-05-25,7
2018-05-26,10
2018-05-27,10
2018-05-28,6
2018-05-29,5
2018-05-30,7
2018-05-31,4
2018-06-01,5
2018-06-02,7
2018-06-03,7
2018-06-04,8
2018-06-05,4
2018-06-06,6
2018-06-07,6
2018-06-08,6
2018-06-09,6
2018-06-10,7
