date,pv,edit_count,editor_count
2021-04-03,9709,6,6
2021-04-04,11216,3,3
2021-04-05,4531,2,2
2021-04-06,4833,1,1
2021-04-07,3675,2,2
2021-04-08,2628,0,0
2021-04-09,2315,1,1
2021-04-10,5413,2,2
2021-04-11,5932,5,5
2021-04-12,3347,2,2
2021-04-13,3444,0,0
2021-04-14,2667,2,2
2021-04-15,2347,1,1
2021-04-16,2110,0,0
2021-04-17,6173,5,5
2021-04-18,6764,1,1
2021-04-19,3630,0,0
2021-04-20,4107,0,0
2021-04-21,3331,1,1
2021-04-22,2541,0,0
2021-04-23,2278,1,1
2021-04-24,5520,4,4
2021-04-25,6123,2,2
2021-04-26,3214,1,1
2021-04-27,3518,1,1
2021-04-28,3156,2,2
2021-04-29,3706,7,7
2021-04-30,2570,4,4
2021-05-01,5677,6,6
2021-05-02,7134,5,5
2021-05-03,5163,3,3
2021-05-04,6459,2,2
2021-05-05,6794,1,1
2021-05-06,5015,3,3
2021-05-07,3939,0,0
2021-05-08,6848,5,5
2021-05-09,7120,5,5
2021-05-10,4571,4,4
2021-05-11,4456,2,2
2021-05-12,9841,3,3
2021-05-13,3387,5,5
2021-05-14,2787,0,0
2021-05-15,6626,7,7
2021-05-16,7291,9,9
2021-05-17,4259,4,4
2021-05-18,4951,2,2
2021-05-19,4396,4,4
2021-05-20,3524,2,2
2021-05-21,3253,1,1
2021-05-22,7356,4,4
2021-05-23,8276,6,6
2021-05-24,4966,2,2
2021-05-25,6088,3,3
2021-05-26,5379,1,1
2021-05-27,4273,4,4
2021-05-28,3690,1,1
2021-05-29,8063,8,8
2021-05-30,8737,5,5
2021-05-31,5201,2,2
2021-06-01,5583,1,1
2021-06-02,5263,2,2
2021-06-03,3957,1,1
2021-06-04,3722,1,1
2021-06-05,7394,7,7
2021-06-06,8180,7,7
2021-06-07,4686,7,7
2021-06-08,4551,1,1
2021-06-09,3907,1,1
2021-06-10,3329,4,4
2021-06-11,2895,0,0
2021-06-12,6402,5,5
2021-06-13,6872,5,5
2021-06-14,4264,2,2
2021-06-15,4568,1,1
2021-06-16,4330,2,2
2021-06-17,3633,3,3
2021-06-18,3482,3,3
2021-06-19,8970,4,4
2021-06-20,10986,10,10
2021-06-21,6116,3,3
2021-06-22,7755,2,2
2021-06-23,6348,3,3
2021-06-24,4825,2,2
2021-06-25,4352,3,3
2021-06-26,6873,3,3
2021-06-27,7057,0,0
2021-06-28,4992,0,0
2021-06-29,4554,2,2
2021-06-30,4549,4,4
2021-07-01,3893,1,1
2021-07-02,3773,0,0
2021-07-03,3883,0,0
2021-07-04,4240,0,0
2021-07-05,3233,0,0
2021-07-06,3077,0,0
2021-07-07,2784,0,0
2021-07-08,2743,0,0
2021-07-09,2622,0,0
2021-07-10,3454,0,0
2021-07-11,3620,0,0
2021-07-12,2619,0,0
2021-07-13,2204,0,0
2021-07-14,1929,0,0
2021-07-15,1845,0,0
2021-07-16,1896,0,0
2021-07-17,2188,1,1
2021-07-18,2241,1,1
2021-07-19,1822,1,1
2021-07-20,1578,0,0
2021-07-21,1531,0,0
2021-07-22,1783,0,0
2021-07-23,1697,0,0
2021-07-24,1679,0,0
2021-07-25,1707,0,0
2021-07-26,1195,0,0
2021-07-27,1304,1,1
2021-07-28,1157,1,1
2021-07-29,1172,1,1
2021-07-30,1166,1,1
2021-07-31,1494,2,2
2021-08-01,1405,0,0
2021-08-02,1143,0,0
2021-08-03,1091,0,0
2021-08-04,951,0,0
2021-08-05,1053,2,2
2021-08-06,991,1,1
2021-08-07,1253,2,2
2021-08-08,1387,0,0
2021-08-09,1522,0,0
2021-08-10,1423,1,1
2021-08-11,1385,0,0
2021-08-12,1739,2,2
2021-08-13,1435,1,1
2021-08-14,1437,2,2
2021-08-15,1367,0,0
2021-08-16,1211,0,0
2021-08-17,1151,0,0
2021-08-18,981,0,0
2021-08-19,925,0,0
2021-08-20,969,0,0
2021-08-21,1101,0,0
2021-08-22,1248,0,0
2021-08-23,968,0,0
2021-08-24,1013,1,1
2021-08-25,912,0,0
2021-08-26,916,0,0
2021-08-27,861,2,2
2021-08-28,1023,0,0
2021-08-29,1162,0,0
2021-08-30,889,0,0
2021-08-31,884,0,0
2021-09-01,740,0,0
2021-09-02,771,0,0
2021-09-03,799,0,0
2021-09-04,1000,0,0
2021-09-05,1005,0,0
2021-09-06,828,0,0
2021-09-07,803,0,0
2021-09-08,749,0,0
2021-09-09,732,0,0
2021-09-10,799,0,0
2021-09-11,872,0,0
2021-09-12,984,0,0
2021-09-13,802,0,0
2021-09-14,725,0,0
2021-09-15,641,0,0
2021-09-16,699,0,0
2021-09-17,741,0,0
2021-09-18,862,0,0
2021-09-19,910,0,0
2021-09-20,865,0,0
2021-09-21,738,0,0
2021-09-22,733,0,0
2021-09-23,807,0,0
2021-09-24,733,0,0
2021-09-25,836,0,0
2021-09-26,754,0,0
2021-09-27,625,0,0
2021-09-28,744,2,2
2021-09-29,592,0,0
2021-09-30,611,0,0
2021-10-01,610,0,0
