date,gt_score
2018-04-13,100
2018-04-14,86
2018-04-15,51
2018-04-16,42
2018-04-17,33
2018-04-18,29
2018-04-19,55
2018-04-20,74
2018-04-21,57
2018-04-22,45
2018-04-23,31
2018-04-24,22
2018-04-25,26
2018-04-26,42
2018-04-27,59
2018-04-28,50
2018-04-29,35
2018-04-30,39
2018-05-01,27
2018-05-02,24
2018-05-03,57
2018-05-04,85
2018-05-05,62
2018-05-06,46
2018-05-07,37
2018-05-08,23
2018-05-09,27
2018-05-10,46
2018-05-11,63
2018-05-12,50
2018-05-13,41
2018-05-14,28
2018-05-15,19
2018-05-16,21
2018-05-17,35
2018-05-18,40
2018-05-19,35
2018-05-20,31
2018-05-21,26
2018-05-22,19
2018-05-23,28
2018-05-24,33
2018-05-25,48
2018-05-26,40
2018-05-27,35
2018-05-28,18
2018-05-29,20
2018-05-30,18
2018-05-31,29
2018-06-01,44
2018-06-02,36
2018-06-03,32
2018-06-04,16
2018-06-05,16
2018-06-06,20
2018-06-07,36
2018-06-08,44
2018-06-09,35
2018-06-10,29
2018-06-11,22
2018-06-12,15
2018-06-13,18
2018-06-14,34
2018-06-15,52
2018-06-16,36
2018-06-17,30
2018-06-18,19
2018-06-19,16
2018-06-20,20
2018-06-21,39
2018-06-22,56
2018-06-23,41
2018-06-24,34
2018-06-25,21
2018-06-26,22
2018-06-27,18
2018-06-28,18
2018-06-29,27
2018-06-30,30
2018-07-01,35
2018-07-02,18
2018-07-03,18
2018-07-04,18
2018-07-05,25
2018-07-06,21
2018-07-07,18
2018-07-08,21
2018-07-09,13
2018-07-10,15
2018-07-11,18
2018-07-12,15
2018-07-13,12
2018-07-14,15
2018-07-15,12
2018-07-16,16
2018-07-17,13
2018-07-18,13
2018-07-19,13
2018-07-20,13
2018-07-21,13
2018-07-22,15
2018-07-23,13
2018-07-24,13
2018-07-25,8
2018-07-26,19
2018-07-27,26
2018-07-28,22
2018-07-29,19
2018-07-30,16
2018-07-31,28
2018-08-01,29
2018-08-02,22
2018-08-03,24
2018-08-04,18
2018-08-05,18
2018-08-06,14
2018-08-07,15
2018-08-08,13
2018-08-09,14
2018-08-10,16
2018-08-11,17
2018-08-12,10
2018-08-13,16
2018-08-14,16
2018-08-15,18
2018-08-16,14
2018-08-17,8
2018-08-18,12
2018-08-19,14
2018-08-20,12
2018-08-21,13
2018-08-22,9
2018-08-23,15
2018-08-24,10
2018-08-25,10
2018-08-26,11
2018-08-27,11
2018-08-28,12
2018-08-29,13
2018-08-30,14
2018-08-31,16
2018-09-01,14
2018-09-02,23
2018-09-03,14
2018-09-04,19
2018-09-05,11
2018-09-06,12
2018-09-07,13
2018-09-08,10
2018-09-09,17
2018-09-10,11
2018-09-11,9
2018-09-12,8
2018-09-13,9
2018-09-14,7
2018-09-15,9
2018-09-16,11
2018-09-17,10
2018-09-18,46
2018-09-19,22
2018-09-20,16
2018-09-21,10
2018-09-22,10
2018-09-23,15
2018-09-24,14
2018-09-25,12
2018-09-26,12
2018-09-27,11
2018-09-28,10
2018-09-29,10
2018-09-30,11
2018-10-01,7
2018-10-02,11
2018-10-03,10
2018-10-04,10
