date,pv,edit_count,editor_count
2018-04-13,20283,1,1
2018-04-14,12952,0,0
2018-04-15,9494,0,0
2018-04-16,5437,0,0
2018-04-17,4292,0,0
2018-04-18,3458,0,0
2018-04-19,7088,1,1
2018-04-20,9762,0,0
2018-04-21,7581,0,0
2018-04-22,5969,0,0
2018-04-23,3971,0,0
2018-04-24,3255,0,0
2018-04-25,3105,0,0
2018-04-26,7024,1,1
2018-04-27,8599,0,0
2018-04-28,6276,0,0
2018-04-29,5077,0,0
2018-04-30,5106,0,0
2018-05-01,3715,1,1
2018-05-02,3668,0,0
2018-05-03,9198,1,1
2018-05-04,11946,0,0
2018-05-05,9356,0,0
2018-05-06,8156,0,0
2018-05-07,6082,0,0
2018-05-08,4500,0,0
2018-05-09,3673,1,1
2018-05-10,7381,2,2
2018-05-11,8854,0,0
2018-05-12,6992,0,0
2018-05-13,5942,0,0
2018-05-14,4056,0,0
2018-05-15,3264,0,0
2018-05-16,2847,0,0
2018-05-17,5572,1,1
2018-05-18,6183,0,0
2018-05-19,5201,0,0
2018-05-20,4603,0,0
2018-05-21,3395,0,0
2018-05-22,2946,0,0
2018-05-23,2813,0,0
2018-05-24,4971,1,1
2018-05-25,5354,1,1
2018-05-26,4695,0,0
2018-05-27,4508,1,1
2018-05-28,3478,0,0
2018-05-29,3130,0,0
2018-05-30,2752,0,0
2018-05-31,5182,1,1
2018-06-01,5981,0,0
2018-06-02,4833,0,0
2018-06-03,4519,0,0
2018-06-04,3128,0,0
2018-06-05,2820,0,0
2018-06-06,2542,0,0
2018-06-07,4932,2,2
2018-06-08,5716,0,0
2018-06-09,4696,0,0
2018-06-10,4277,0,0
2018-06-11,3051,0,0
2018-06-12,2616,0,0
2018-06-13,2418,0,0
2018-06-14,7178,3,3
2018-06-15,10237,0,0
2018-06-16,6903,0,0
2018-06-17,5345,0,0
2018-06-18,3446,0,0
2018-06-19,3034,1,1
2018-06-20,2962,0,0
2018-06-21,7352,3,3
2018-06-22,10540,2,2
2018-06-23,7834,0,0
2018-06-24,6402,0,0
2018-06-25,4315,0,0
2018-06-26,4017,0,0
2018-06-27,3537,0,0
2018-06-28,4746,0,0
2018-06-29,4852,0,0
2018-06-30,4908,0,0
2018-07-01,5201,0,0
2018-07-02,3630,0,0
2018-07-03,3823,0,0
2018-07-04,4081,0,0
2018-07-05,4672,0,0
2018-07-06,3659,0,0
2018-07-07,3754,0,0
2018-07-08,3982,0,0
2018-07-09,2837,0,0
2018-07-10,2442,0,0
2018-07-11,2371,0,0
2018-07-12,2419,0,0
2018-07-13,2172,0,0
2018-07-14,2410,0,0
2018-07-15,2581,1,1
2018-07-16,2613,0,0
2018-07-17,1923,1,1
2018-07-18,1769,0,0
2018-07-19,1689,0,0
2018-07-20,1637,0,0
2018-07-21,2134,0,0
2018-07-22,2333,0,0
2018-07-23,1838,1,1
2018-07-24,1641,0,0
2018-07-25,1539,0,0
2018-07-26,2632,0,0
2018-07-27,2915,0,0
2018-07-28,2494,1,1
2018-07-29,2484,0,0
2018-07-30,1900,1,1
2018-07-31,2755,0,0
2018-08-01,2808,0,0
2018-08-02,2605,1,1
2018-08-03,2238,0,0
2018-08-04,2405,0,0
2018-08-05,2630,0,0
2018-08-06,2096,0,0
2018-08-07,2132,0,0
2018-08-08,2009,1,1
2018-08-09,1954,0,0
2018-08-10,1740,0,0
2018-08-11,2079,0,0
2018-08-12,2182,1,1
2018-08-13,2143,0,0
2018-08-14,2157,0,0
2018-08-15,1922,0,0
2018-08-16,1914,0,0
2018-08-17,1700,0,0
2018-08-18,1748,0,0
2018-08-19,2247,0,0
2018-08-20,1955,0,0
2018-08-21,1726,1,1
2018-08-22,1513,0,0
2018-08-23,1648,0,0
2018-08-24,1546,0,0
2018-08-25,1626,1,1
2018-08-26,1926,0,0
2018-08-27,1631,0,0
2018-08-28,1534,0,0
2018-08-29,1797,0,0
2018-08-30,2713,0,0
2018-08-31,2496,0,0
2018-09-01,2870,0,0
2018-09-02,4567,0,0
2018-09-03,3270,0,0
2018-09-04,2276,0,0
2018-09-05,2595,0,0
2018-09-06,2283,0,0
2018-09-07,1585,0,0
2018-09-08,2406,0,0
2018-09-09,3133,0,0
2018-09-10,2066,0,0
2018-09-11,1366,0,0
2018-09-12,1363,0,0
2018-09-13,1369,1,1
2018-09-14,1280,0,0
2018-09-15,1507,0,0
2018-09-16,1638,0,0
2018-09-17,2232,0,0
2018-09-18,6103,4,4
2018-09-19,2204,0,0
2018-09-20,1671,0,0
2018-09-21,1736,0,0
2018-09-22,1954,0,0
2018-09-23,2122,0,0
2018-09-24,2284,0,0
2018-09-25,1739,0,0
2018-09-26,1556,0,0
2018-09-27,1353,0,0
2018-09-28,1277,0,0
2018-09-29,1602,0,0
2018-09-30,1960,0,0
2018-10-01,1508,0,0
2018-10-02,1247,0,0
2018-10-03,1293,0,0
2018-10-04,1227,0,0
