date,gt_score
2019-01-11,95
2019-01-12,73
2019-01-13,54
2019-01-14,47
2019-01-15,34
2019-01-16,33
2019-01-17,46
2019-01-18,64
2019-01-19,50
2019-01-20,42
2019-01-21,33
2019-01-22,31
2019-01-23,29
2019-01-24,39
2019-01-25,53
2019-01-26,51
2019-01-27,43
2019-01-28,29
2019-01-29,28
2019-01-30,27
2019-01-31,39
2019-02-01,55
2019-02-02,56
2019-02-03,46
2019-02-04,33
2019-02-05,29
2019-02-06,26
2019-02-07,37
2019-02-08,45
2019-02-09,47
2019-02-10,37
2019-02-11,37
2019-02-12,22
2019-02-13,22
2019-02-14,33
2019-02-15,42
2019-02-16,43
2019-02-17,37
2019-02-18,26
2019-02-19,24
2019-02-20,24
2019-02-21,32
2019-02-22,45
2019-02-23,44
2019-02-24,31
2019-02-25,22
2019-02-26,25
2019-02-27,27
2019-02-28,36
2019-03-01,45
2019-03-02,45
2019-03-03,42
2019-03-04,39
2019-03-05,30
2019-03-06,36
2019-03-07,50
2019-03-08,59
2019-03-09,58
2019-03-10,45
2019-03-11,36
2019-03-12,31
2019-03-13,36
2019-03-14,50
2019-03-15,70
2019-03-16,63
2019-03-17,60
2019-03-18,44
2019-03-19,39
2019-03-20,42
2019-03-21,65
2019-03-22,66
2019-03-23,57
2019-03-24,52
2019-03-25,44
2019-03-26,42
2019-03-27,41
2019-03-28,70
2019-03-29,100
2019-03-30,73
2019-03-31,61
2019-04-01,51
2019-04-02,48
2019-04-03,44
2019-04-04,42
2019-04-05,39
2019-04-06,42
2019-04-07,40
2019-04-08,32
2019-04-09,24
2019-04-10,25
2019-04-11,24
2019-04-12,23
2019-04-13,30
2019-04-14,31
2019-04-15,25
2019-04-16,21
2019-04-17,20
2019-04-18,17
2019-04-19,19
2019-04-20,26
2019-04-21,26
2019-04-22,20
2019-04-23,19
2019-04-24,18
2019-04-25,19
2019-04-26,19
2019-04-27,23
2019-04-28,21
2019-04-29,25
2019-04-30,24
2019-05-01,24
2019-05-02,22
2019-05-03,25
2019-05-04,26
2019-05-05,26
2019-05-06,24
2019-05-07,17
2019-05-08,16
2019-05-09,14
2019-05-10,16
2019-05-11,22
2019-05-12,22
2019-05-13,15
2019-05-14,13
2019-05-15,15
2019-05-16,13
2019-05-17,15
2019-05-18,20
2019-05-19,21
2019-05-20,14
2019-05-21,14
2019-05-22,14
2019-05-23,13
2019-05-24,18
2019-05-25,22
2019-05-26,20
2019-05-27,14
2019-05-28,12
2019-05-29,12
2019-05-30,13
2019-05-31,12
2019-06-01,19
2019-06-02,20
2019-06-03,20
2019-06-04,21
2019-06-05,18
2019-06-06,15
2019-06-07,16
2019-06-08,21
2019-06-09,21
2019-06-10,15
