date,pv,edit_count,editor_count
2017-01-06,15543,5,5
2017-01-07,24848,3,3
2017-01-08,20459,1,1
2017-01-09,20748,2,2
2017-01-10,15153,4,4
2017-01-11,11542,3,3
2017-01-12,10175,0,0
2017-01-13,17403,3,3
2017-01-14,25431,6,6
2017-01-15,21022,4,4
2017-01-16,17289,3,3
2017-01-17,15007,1,1
2017-01-18,12122,2,2
2017-01-19,11295,6,6
2017-01-20,19022,4,4
2017-01-21,26740,4,4
2017-01-22,23273,1,1
2017-01-23,19144,2,2
2017-01-24,15915,2,2
2017-01-25,11959,1,1
2017-01-26,12856,3,3
2017-01-27,19349,6,6
2017-01-28,26893,3,3
2017-01-29,22734,2,2
2017-01-30,17364,1,1
2017-01-31,14258,0,0
2017-02-01,11835,4,4
2017-02-02,10683,2,2
2017-02-03,20124,6,6
2017-02-04,33511,6,6
2017-02-05,28918,6,6
2017-02-06,22272,7,7
2017-02-07,17752,1,1
2017-02-08,13649,3,3
2017-02-09,11897,1,1
2017-02-10,20238,6,6
2017-02-11,26739,3,3
2017-02-12,19899,3,3
2017-02-13,16237,3,3
2017-02-14,13987,4,4
2017-02-15,11383,0,0
2017-02-16,10625,3,3
2017-02-17,13157,5,5
2017-02-18,14302,3,3
2017-02-19,13307,1,1
2017-02-20,11471,1,1
2017-02-21,9818,2,2
2017-02-22,10569,2,2
2017-02-23,9552,3,3
2017-02-24,17761,3,3
2017-02-25,22381,3,3
2017-02-26,16932,3,3
2017-02-27,13640,2,2
2017-02-28,10824,3,3
2017-03-01,9203,1,1
2017-03-02,9277,2,2
2017-03-03,14582,4,4
2017-03-04,18454,4,4
2017-03-05,17616,3,3
2017-03-06,12997,2,2
2017-03-07,10101,2,2
2017-03-08,8419,2,2
2017-03-09,7703,3,3
2017-03-10,11816,3,3
2017-03-11,15262,6,6
2017-03-12,11856,2,2
2017-03-13,10737,2,2
2017-03-14,9611,4,4
2017-03-15,7396,0,0
2017-03-16,6857,4,4
2017-03-17,12268,6,6
2017-03-18,15458,3,3
2017-03-19,12223,1,1
2017-03-20,12857,2,2
2017-03-21,10401,2,2
2017-03-22,7807,4,4
2017-03-23,6638,3,3
2017-03-24,11178,4,4
2017-03-25,13296,5,5
2017-03-26,11662,2,2
2017-03-27,10005,3,3
2017-03-28,8290,1,1
2017-03-29,7027,1,1
2017-03-30,6775,0,0
2017-03-31,14564,2,2
2017-04-01,16816,2,2
2017-04-02,12835,0,0
2017-04-03,11563,0,0
2017-04-04,10023,1,1
2017-04-05,7814,1,1
2017-04-06,7034,0,0
