date,pv,edit_count,editor_count
2016-10-06,18394,4,4
2016-10-07,13875,3,3
2016-10-08,10978,3,3
2016-10-09,11011,0,0
2016-10-10,13223,1,1
2016-10-11,9659,1,1
2016-10-12,10630,7,7
2016-10-13,15181,1,1
2016-10-14,10595,3,3
2016-10-15,11017,3,3
2016-10-16,10420,1,1
2016-10-17,8927,2,2
2016-10-18,8008,1,1
2016-10-19,8979,1,1
2016-10-20,13330,0,0
2016-10-21,9647,3,3
2016-10-22,8904,0,0
2016-10-23,9648,0,0
2016-10-24,7728,2,2
2016-10-25,6391,0,0
2016-10-26,7935,1,1
2016-10-27,10559,1,1
2016-10-28,7716,2,2
2016-10-29,7886,0,0
2016-10-30,7886,0,0
2016-10-31,5383,1,1
2016-11-01,4772,0,0
2016-11-02,6619,2,2
2016-11-03,12448,4,4
2016-11-04,8508,0,0
2016-11-05,9721,1,1
2016-11-06,10707,1,1
2016-11-07,8492,1,1
2016-11-08,6929,1,1
2016-11-09,8462,1,1
2016-11-10,14029,9,9
2016-11-11,10061,3,3
2016-11-12,10886,1,1
2016-11-13,10905,0,0
2016-11-14,9783,0,0
2016-11-15,8143,1,1
2016-11-16,10211,1,1
2016-11-17,18906,3,3
2016-11-18,16872,2,2
2016-11-19,15676,0,0
2016-11-20,14775,0,0
2016-11-21,11922,0,0
2016-11-22,10359,1,1
2016-11-23,15599,3,3
2016-11-24,15078,4,4
2016-11-25,16151,1,1
2016-11-26,15280,2,2
2016-11-27,13926,0,0
2016-11-28,12415,0,0
2016-11-29,10296,0,0
2016-11-30,11201,1,1
2016-12-01,16121,2,2
2016-12-02,11562,1,1
2016-12-03,11850,3,3
2016-12-04,14280,0,0
2016-12-05,10719,0,0
2016-12-06,11057,0,0
2016-12-07,12305,1,1
2016-12-08,32593,1,1
2016-12-09,19293,0,0
2016-12-10,20397,2,2
2016-12-11,21316,0,0
2016-12-12,18344,0,0
2016-12-13,14122,2,2
2016-12-14,15569,1,1
2016-12-15,16774,3,3
2016-12-16,11568,0,0
2016-12-17,11320,3,3
2016-12-18,11639,2,2
2016-12-19,10677,4,4
2016-12-20,9732,1,1
2016-12-21,13305,4,4
2016-12-22,17461,3,3
2016-12-23,15720,3,3
2016-12-24,12757,1,1
2016-12-25,13453,1,1
2016-12-26,12216,5,5
2016-12-27,10698,1,1
2016-12-28,9495,0,0
2016-12-29,10053,4,4
2016-12-30,10170,0,0
2016-12-31,10015,0,0
2017-01-01,9431,1,1
2017-01-02,9549,4,4
2017-01-03,9857,0,0
2017-01-04,9202,0,0
