date,gt_score
2018-01-04,51
2018-01-05,52
2018-01-06,38
2018-01-07,32
2018-01-08,33
2018-01-09,32
2018-01-10,24
2018-01-11,44
2018-01-12,56
2018-01-13,50
2018-01-14,51
2018-01-15,33
2018-01-16,35
2018-01-17,34
2018-01-18,54
2018-01-19,61
2018-01-20,54
2018-01-21,50
2018-01-22,36
2018-01-23,45
2018-01-24,42
2018-01-25,52
2018-01-26,58
2018-01-27,53
2018-01-28,47
2018-01-29,40
2018-01-30,41
2018-01-31,36
2018-02-01,52
2018-02-02,67
2018-02-03,56
2018-02-04,56
2018-02-05,48
2018-02-06,41
2018-02-07,43
2018-02-08,58
2018-02-09,80
2018-02-10,67
2018-02-11,65
2018-02-12,60
2018-02-13,52
2018-02-14,51
2018-02-15,58
2018-02-16,81
2018-02-17,69
2018-02-18,69
2018-02-19,55
2018-02-20,46
2018-02-21,45
2018-02-22,67
2018-02-23,73
2018-02-24,63
2018-02-25,59
2018-02-26,47
2018-02-27,50
2018-02-28,46
2018-03-01,64
2018-03-02,78
2018-03-03,65
2018-03-04,68
2018-03-05,55
2018-03-06,54
2018-03-07,55
2018-03-08,68
2018-03-09,71
2018-03-10,70
2018-03-11,67
2018-03-12,61
2018-03-13,57
2018-03-14,50
2018-03-15,67
2018-03-16,71
2018-03-17,69
2018-03-18,64
2018-03-19,52
2018-03-20,50
2018-03-21,70
2018-03-22,84
2018-03-23,100
2018-03-24,85
2018-03-25,80
2018-03-26,62
2018-03-27,62
2018-03-28,62
2018-03-29,58
2018-03-30,47
2018-03-31,57
2018-04-01,52
2018-04-02,45
2018-04-03,40
2018-04-04,40
2018-04-05,40
2018-04-06,39
2018-04-07,49
2018-04-08,46
2018-04-09,33
2018-04-10,35
2018-04-11,31
2018-04-12,32
2018-04-13,29
2018-04-14,36
2018-04-15,38
2018-04-16,35
2018-04-17,31
2018-04-18,27
2018-04-19,28
2018-04-20,29
2018-04-21,39
2018-04-22,42
2018-04-23,28
2018-04-24,25
2018-04-25,28
2018-04-26,26
2018-04-27,27
2018-04-28,33
2018-04-29,33
2018-04-30,33
2018-05-01,27
2018-05-02,26
2018-05-03,33
2018-05-04,36
2018-05-05,40
2018-05-06,32
2018-05-07,28
2018-05-08,26
2018-05-09,20
2018-05-10,22
2018-05-11,21
2018-05-12,29
2018-05-13,27
2018-05-14,22
2018-05-15,19
2018-05-16,19
2018-05-17,16
2018-05-18,17
2018-05-19,26
2018-05-20,27
2018-05-21,21
2018-05-22,21
2018-05-23,23
2018-05-24,20
2018-05-25,21
2018-05-26,27
2018-05-27,29
2018-05-28,19
2018-05-29,17
2018-05-30,14
2018-05-31,19
2018-06-01,15
2018-06-02,23
2018-06-03,23
2018-06-04,14
2018-06-05,13
2018-06-06,16
2018-06-07,15
2018-06-08,16
2018-06-09,24
2018-06-10,31
2018-06-11,21
2018-06-12,19
2018-06-13,15
2018-06-14,15
2018-06-15,15
2018-06-16,17
2018-06-17,21
2018-06-18,15
2018-06-19,15
2018-06-20,16
2018-06-21,15
2018-06-22,15
2018-06-23,13
2018-06-24,14
2018-06-25,16
2018-06-26,13
2018-06-27,15
