date,pv,edit_count,editor_count
2018-01-04,12486,5,5
2018-01-05,15464,5,5
2018-01-06,8855,1,1
2018-01-07,6785,3,3
2018-01-08,6930,2,2
2018-01-09,7538,2,2
2018-01-10,5510,0,0
2018-01-11,9261,1,1
2018-01-12,11399,3,3
2018-01-13,9376,4,4
2018-01-14,8812,0,0
2018-01-15,6978,1,1
2018-01-16,7095,0,0
2018-01-17,6297,0,0
2018-01-18,9659,3,3
2018-01-19,10836,5,5
2018-01-20,9475,0,0
2018-01-21,8449,2,2
2018-01-22,6338,3,3
2018-01-23,7104,3,3
2018-01-24,5863,2,2
2018-01-25,7750,1,1
2018-01-26,8643,2,2
2018-01-27,7528,0,0
2018-01-28,7371,0,0
2018-01-29,6286,0,0
2018-01-30,5749,1,1
2018-01-31,4993,1,1
2018-02-01,7187,5,5
2018-02-02,8798,1,1
2018-02-03,7425,2,2
2018-02-04,7339,4,4
2018-02-05,5906,1,1
2018-02-06,6133,1,1
2018-02-07,5230,2,2
2018-02-08,8614,3,3
2018-02-09,11113,6,6
2018-02-10,9138,4,4
2018-02-11,9730,2,2
2018-02-12,9404,3,3
2018-02-13,8345,2,2
2018-02-14,6730,2,2
2018-02-15,11299,4,4
2018-02-16,13493,2,2
2018-02-17,9941,2,2
2018-02-18,9876,0,0
2018-02-19,7376,0,0
2018-02-20,7836,4,4
2018-02-21,6471,0,0
2018-02-22,8338,1,1
2018-02-23,9213,5,5
2018-02-24,7905,2,2
2018-02-25,7632,1,1
2018-02-26,6239,0,0
2018-02-27,6561,0,0
2018-02-28,5713,1,1
2018-03-01,7746,5,5
2018-03-02,8732,4,4
2018-03-03,7910,3,3
2018-03-04,7996,2,2
2018-03-05,6726,0,0
2018-03-06,6866,2,2
2018-03-07,5934,2,2
2018-03-08,8748,7,7
2018-03-09,9256,3,3
2018-03-10,7988,1,1
2018-03-11,7476,0,0
2018-03-12,6331,1,1
2018-03-13,6542,0,0
2018-03-14,5654,2,2
2018-03-15,8073,2,2
2018-03-16,8411,3,3
2018-03-17,7499,1,1
2018-03-18,7211,0,0
2018-03-19,6031,1,1
2018-03-20,6064,0,0
2018-03-21,8297,1,1
2018-03-22,10211,7,7
2018-03-23,10828,1,1
2018-03-24,9197,3,3
2018-03-25,8904,0,0
2018-03-26,7267,2,2
2018-03-27,7778,2,2
2018-03-28,7182,2,2
2018-03-29,6446,0,0
2018-03-30,5472,1,1
2018-03-31,5762,0,0
2018-04-01,6134,0,0
2018-04-02,4968,0,0
2018-04-03,4697,0,0
2018-04-04,4895,2,2
2018-04-05,5085,2,2
2018-04-06,4530,0,0
2018-04-07,5413,4,4
2018-04-08,4964,1,1
2018-04-09,4101,1,1
2018-04-10,3677,0,0
2018-04-11,3849,0,0
2018-04-12,3877,2,2
2018-04-13,3503,1,1
2018-04-14,4064,0,0
2018-04-15,4302,0,0
2018-04-16,3201,2,2
2018-04-17,3101,0,0
2018-04-18,3145,2,2
2018-04-19,3224,0,0
2018-04-20,3122,0,0
2018-04-21,3498,0,0
2018-04-22,3924,3,3
2018-04-23,3304,1,1
2018-04-24,3008,0,0
2018-04-25,3269,0,0
2018-04-26,3024,0,0
2018-04-27,2736,0,0
2018-04-28,3256,0,0
2018-04-29,3235,0,0
2018-04-30,3308,1,1
2018-05-01,3019,1,1
2018-05-02,3066,0,0
2018-05-03,3728,2,2
2018-05-04,3771,0,0
2018-05-05,5142,0,0
2018-05-06,4600,0,0
2018-05-07,3439,0,0
2018-05-08,3102,0,0
2018-05-09,2891,0,0
2018-05-10,2962,0,0
2018-05-11,2645,1,1
2018-05-12,3210,0,0
2018-05-13,3798,1,1
2018-05-14,2846,0,0
2018-05-15,2344,0,0
2018-05-16,2333,0,0
2018-05-17,2786,0,0
2018-05-18,2432,1,1
2018-05-19,2918,0,0
2018-05-20,2914,1,1
2018-05-21,2690,0,0
2018-05-22,2982,1,1
2018-05-23,2595,0,0
2018-05-24,3035,1,1
2018-05-25,2660,0,0
2018-05-26,3549,0,0
2018-05-27,3654,0,0
2018-05-28,2484,0,0
2018-05-29,2385,3,3
2018-05-30,2045,1,1
2018-05-31,2165,0,0
2018-06-01,1940,0,0
2018-06-02,2336,0,0
2018-06-03,3242,0,0
2018-06-04,2001,0,0
2018-06-05,1970,0,0
2018-06-06,2017,0,0
2018-06-07,2183,0,0
2018-06-08,2042,0,0
2018-06-09,2321,0,0
2018-06-10,3596,0,0
2018-06-11,2734,0,0
2018-06-12,2040,0,0
2018-06-13,1790,0,0
2018-06-14,2103,0,0
2018-06-15,1886,1,1
2018-06-16,2091,0,0
2018-06-17,2172,0,0
2018-06-18,1725,0,0
2018-06-19,1716,0,0
2018-06-20,1765,0,0
2018-06-21,1950,0,0
2018-06-22,1824,0,0
2018-06-23,2157,0,0
2018-06-24,2167,1,1
2018-06-25,1599,0,0
2018-06-26,1645,0,0
2018-06-27,1575,0,0
