anime_title_ja,popularity_tier,Y_1m_gt,y_pred,residual
BLEACH 千年血戦篇-訣別譚-,high,22.0,19.203142,2.7968578338623047
かぐや様は告らせたい,medium,50.0,47.356647,2.643352508544922
ぼっち・ざ・ろっく！,high,26.0,23.494192,2.505807876586914
転生したらスライムだった件,medium,54.0,51.67512,2.324878692626953
僕の心のヤバイやつ,medium,39.0,36.890507,2.1094932556152344
ホリミヤ,medium,30.0,28.036724,1.9632759094238281
映像研には手を出すな！,medium,27.0,25.23319,1.7668094635009766
進撃の巨人 第2期,high,47.0,45.496754,1.5032463073730469
ハイキュー!! TO THE TOP 第2クール,high,32.0,30.540545,1.4594554901123047
ゴブリンスレイヤー,medium,23.0,21.560131,1.4398689270019531
無職転生 〜異世界行ったら本気だす〜 第2部,high,57.0,55.589256,1.4107437133789062
かぐや様は告らせたい -ウルトラロマンティック-,high,41.0,39.748695,1.2513046264648438
やはり俺の青春ラブコメはまちがっている。完,medium,45.0,44.090466,0.9095344543457031
幼女戦記,medium,87.0,86.10811,0.8918914794921875
この素晴らしい世界に祝福を！,high,41.0,40.124233,0.8757667541503906
呪術廻戦 第2期,high,61.0,60.1281,0.8718986511230469
いじらないで、長瀞さん,medium,33.0,32.212566,0.7874336242675781
五等分の花嫁,medium,39.0,38.327885,0.6721153259277344
ウマ娘 プリティーダービー Season 2,high,84.0,83.4017,0.598297119140625
ヴァイオレット・エヴァーガーデン,high,29.0,28.442984,0.5570163726806641
Vivy -Fluorite Eye's Song-,medium,9.0,8.457953,0.5420465469360352
デカダンス,low,44.0,43.4587,0.5413017272949219
僕のヒーローアカデミア 第5期,high,3.0,2.5762901,0.4237098693847656
葬送のフリーレン,high,18.0,17.576908,0.4230918884277344
ブルーピリオド,medium,12.0,11.587094,0.4129056930541992
ゆるキャン△,low,58.0,57.60921,0.3907890319824219
トモちゃんは女の子！,medium,0.0,-0.38095117,0.3809511661529541
推しの子,high,51.0,50.62074,0.3792610168457031
ありふれた職業で世界最強,low,40.0,39.64919,0.3508110046386719
異世界おじさん,medium,41.0,40.733295,0.2667045593261719
東京リベンジャーズ,medium,37.0,36.755367,0.24463272094726562
宇宙よりも遠い場所,medium,26.0,25.766594,0.23340606689453125
薬屋のひとりごと,high,15.0,14.781297,0.2187032699584961
ヲタクに恋は難しい,low,40.0,39.788548,0.21145248413085938
サマータイムレンダ,low,30.0,29.911022,0.08897781372070312
オッドタクシー,medium,6.0,5.92821,0.07179021835327148
鬼滅の刃,high,24.0,23.957972,0.04202842712402344
ユーリ!!! on ICE,high,0.0,-0.037684202,0.03768420219421387
Re:ゼロから始める異世界生活,high,9.0,8.971215,0.028784751892089844
進撃の巨人 The Final Season,high,28.0,27.986933,0.013067245483398438
ダーリン・イン・ザ・フランキス,medium,41.0,40.994022,0.005977630615234375
小林さんちのメイドラゴン,low,52.0,52.002296,-0.00229644775390625
魔法使いの嫁 SEASON 2,medium,0.0,0.009563505,-0.009563504718244076
王様ランキング,high,53.0,53.02714,-0.027141571044921875
モブサイコ100 III,high,0.0,0.033370994,-0.03337099403142929
無能なナナ,low,32.0,32.045406,-0.045406341552734375
進撃の巨人 The Final Season Part2,high,56.0,56.047276,-0.047275543212890625
ヴィンランド・サガ SEASON 2,high,0.0,0.06611564,-0.06611564010381699
無職転生 ～異世界行ったら本気だす～,high,38.0,38.096092,-0.09609222412109375
ワンパンマン,high,61.0,61.11511,-0.11510848999023438
Dr.STONE,medium,22.0,22.122137,-0.12213706970214844
ソードアート・オンライン アリシゼーション,high,22.0,22.151611,-0.151611328125
フルーツバスケット（2019年）,medium,0.0,0.159994,-0.1599940061569214
アオアシ,medium,11.0,11.1726675,-0.1726675033569336
86-エイティシックス-,high,22.0,22.193604,-0.193603515625
盾の勇者の成り上がり,high,55.0,55.19372,-0.19372177124023438
リコリス・リコイル,medium,41.0,41.200268,-0.20026779174804688
鬼滅の刃 柱稽古編,high,4.0,4.205983,-0.20598316192626953
転生したらスライムだった件 第2期,medium,38.0,38.209324,-0.20932388305664062
神之塔 -Tower of God-,medium,0.0,0.22094697,-0.22094696760177612
僕のヒーローアカデミア 第4期,high,6.0,6.2254615,-0.22546148300170898
シャングリラ・フロンティア,high,12.0,12.22783,-0.2278299331665039
チェンソーマン,high,56.0,56.27304,-0.273040771484375
はたらく細胞,medium,43.0,43.279045,-0.27904510498046875
鬼滅の刃 遊郭編,high,10.0,10.291643,-0.2916431427001953
呪術廻戦,high,25.0,25.2967,-0.29669952392578125
鬼滅の刃 刀鍛冶の里編,high,14.0,14.314573,-0.3145732879638672
ダンジョン飯,high,13.0,13.353645,-0.35364532470703125
ヴィンランド・サガ,high,10.0,10.373377,-0.37337684631347656
モブサイコ100,medium,0.0,0.44026276,-0.4402627646923065
ブルーロック,high,20.0,20.443153,-0.44315338134765625
約束のネバーランド,medium,37.0,37.451252,-0.4512519836425781
Re:ゼロから始める異世界生活 第2期,high,37.0,37.472095,-0.4720954895019531
僕のヒーローアカデミア 第2期,high,0.0,0.4867713,-0.48677128553390503
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった,medium,26.0,26.522497,-0.5224971771240234
僕のヒーローアカデミア 第1期,high,0.0,0.58461154,-0.5846115350723267
機動戦士ガンダム 水星の魔女,high,14.0,14.589689,-0.5896892547607422
この素晴らしい世界に祝福を！2,high,27.0,27.606453,-0.6064529418945312
進撃の巨人 第3期 Part2,high,0.0,0.63142973,-0.6314297318458557
かくしごと,low,21.0,21.716078,-0.7160778045654297
平家物語,medium,0.0,0.72179586,-0.7217958569526672
ワンパンマン 第2期,high,17.0,17.976112,-0.9761123657226562
進撃の巨人 第3期,high,19.0,19.996422,-0.9964218139648438
メイドインアビス,high,18.0,19.09594,-1.0959396362304688
見える子ちゃん,medium,0.0,1.2974758,-1.297475814819336
炎炎ノ消防隊,medium,0.0,1.3512901,-1.3512901067733765
SPY×FAMILY,high,31.0,32.406834,-1.4068336486816406
僕のヒーローアカデミア 第6期,high,32.0,33.43391,-1.4339103698730469
古見さんはコミュ症です,medium,0.0,1.4764497,-1.476449728012085
その着せ替え人形は恋をする,high,36.0,37.518917,-1.5189170837402344
SK∞ エスケーエイト,low,0.0,2.1431484,-2.143148422241211
アンデッドアンラック,medium,0.0,2.2721856,-2.2721855640411377
慎重勇者〜この勇者が俺TUEEEくせに慎重すぎる〜,medium,0.0,2.2994623,-2.29946231842041
僕のヒーローアカデミア 第3期,high,14.0,16.607426,-2.6074256896972656
不滅のあなたへ,medium,19.0,21.98742,-2.9874191284179688
